detector,n_streams,rho,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
PH,500,0.0,alpha-investing,0.05,1,23338,22588,54,4,50,0.07407407407407407,0.00017708517797060386,0.0851063829787234,0.0425531914893617,0.001702127659574468,587500.0,50,50,0.0,1445.94,1294.0,1445.94
PH,500,0.0,raw,,4,18439,18375,1747,1697,50,0.9713795077275329,0.09235374149659864,36.1063829787234,1.0,0.7221276595744681,1384.7967000589276,50,50,0.0,126.84,106.0,126.84
PH,500,0.0,uncorrected,0.05,4,22676,22585,278,228,50,0.8201438848920863,0.010095195926499888,4.851063829787234,1.0,0.09702127659574468,10307.017543859649,50,50,0.0,130.84,130.5,130.84
PH,500,0.0,bonferroni,0.05,4,23350,23181,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,282.84,264.0,282.84
PH,500,0.0,bh_window,0.05,4,23347,23188,51,1,50,0.0196078431372549,4.312575470070726e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,262.84,254.0,262.84
PH,500,0.0,LOND,0.05,4,23359,23022,47,0,47,0.0,0.0,0.0,0.0,0.0,inf,50,47,0.06000000000000005,525.6170212765958,378.0,618.84
PH,500,0.0,LORD++,0.05,4,23347,23155,51,1,50,0.0196078431372549,4.318721658389117e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,328.84,284.0,328.84
PH,500,0.0,SAFFRON,0.05,4,23341,23109,53,3,50,0.05660377358490566,0.00012981955082435416,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,408.84,353.0,408.84
PH,500,0.0,alpha-investing,0.05,4,23347,22307,51,3,48,0.058823529411764705,0.00013448693235307301,0.06382978723404255,0.02127659574468085,0.001276595744680851,783333.3333333334,50,48,0.040000000000000036,2016.5416666666667,2232.5,2024.84
PH,500,0.0,raw,,5,18338,18267,1784,1735,49,0.9725336322869955,0.09498001861279903,36.91489361702128,1.0,0.7382978723404255,1354.4668587896253,50,50,0.0,164.04,109.5,164.04
PH,500,0.0,uncorrected,0.05,5,22625,22541,298,248,50,0.8322147651006712,0.01100217381660086,5.276595744680851,1.0,0.10553191489361702,9475.806451612903,50,50,0.0,130.04,114.5,130.04
PH,500,0.0,bonferroni,0.05,5,23350,23193,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,262.04,265.5,262.04
PH,500,0.0,bh_window,0.05,5,23350,23208,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,232.04,220.0,232.04
PH,500,0.0,LOND,0.05,5,23359,23071,47,0,47,0.0,0.0,0.0,0.0,0.0,inf,50,47,0.06000000000000005,412.9574468085106,370.0,524.04
PH,500,0.0,LORD++,0.05,5,23353,23172,49,0,49,0.0,0.0,0.0,0.0,0.0,inf,50,49,0.020000000000000018,292.55102040816325,290.0,310.04
PH,500,0.0,SAFFRON,0.05,5,23350,23159,50,1,49,0.02,4.317975732976381e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,49,0.020000000000000018,312.9591836734694,302.0,330.04
PH,500,0.0,alpha-investing,0.05,5,23344,23047,52,4,48,0.07692307692307693,0.00017355838070030806,0.0851063829787234,0.06382978723404255,0.001702127659574468,587500.0,50,48,0.040000000000000036,479.9375,402.5,542.04
PH,500,0.0,raw,,6,18184,18126,1853,1803,50,0.9730167296276309,0.09947037404832837,38.361702127659576,1.0,0.7672340425531915,1303.3832501386578,50,50,0.0,132.86,84.0,132.86
PH,500,0.0,uncorrected,0.05,6,22628,22537,300,250,50,0.8333333333333334,0.011092869503483161,5.319148936170213,1.0,0.10638297872340426,9400.0,50,50,0.0,136.86,144.0,136.86
PH,500,0.0,bonferroni,0.05,6,23346,23184,53,3,50,0.05660377358490566,0.00012939958592132506,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,278.86,267.5,278.86
PH,500,0.0,bh_window,0.05,6,23345,23196,53,3,50,0.05660377358490566,0.00012933264355923435,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,252.86,250.5,252.86
PH,500,0.0,LOND,0.05,6,23359,23020,47,1,46,0.02127659574468085,4.3440486533449174e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,46,0.07999999999999996,512.6521739130435,407.5,632.86
PH,500,0.0,LORD++,0.05,6,23347,23159,52,3,49,0.057692307692307696,0.0001295392719892914,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,49,0.020000000000000018,316.42857142857144,318.0,330.86
