case,seed,drift_type,magnitude,rho,pattern,detector,view,rule,false_alarms_per_1k_stream_steps,p_any_false_alarm_per_window,fdp,precision,recall,f1,mean_delay,degraded_per_drift
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,bonferroni,0.00425531914893617,0.0425531914893617,0.25,0.625,0.5,0.5555555555555556,565.3333333333334,994.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,bh_window,0.00851063829787234,0.0851063829787234,0.4,0.5,0.5,0.5,515.3333333333334,964.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2104.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(3),остатки,bonferroni,0.002127659574468085,0.02127659574468085,0.14285714285714285,0.7142857142857143,0.5,0.588235294117647,665.3333333333334,1054.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,MeanShift(3),остатки,bh_window,0.00425531914893617,0.0425531914893617,0.25,0.625,0.5,0.5555555555555556,582.0,1004.6
"abrupt, Δ=0.5, ρ=0, scattered",1002,abrupt,0.5,0.0,scattered,PH river по умолчанию,сырые,порог,0.7276595744680852,1.0,0.9715909090909091,0.028409090909090908,1.0,0.05524861878453039,124.6,124.6
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,PH,сырые,uncorrected,0.09787234042553192,0.48936170212765956,0.8214285714285714,0.17857142857142858,1.0,0.30303030303030304,205.5,205.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,PH,сырые,bonferroni,0.00425531914893617,0.0425531914893617,0.2,0.7,0.7,0.7,595.0,965.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,PH,сырые,bh_window,0.00425531914893617,0.0425531914893617,0.2,0.8,0.8,0.8000000000000002,507.5,895.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,PH,сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,1935.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,PH,остатки,bonferroni,0.0,0.0,0.0,0.75,0.6,0.6666666666666665,661.625,945.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,PH,остатки,bh_window,0.002127659574468085,0.02127659574468085,0.1111111111111111,0.8888888888888888,0.8,0.8421052631578948,499.125,815.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,KS,сырые,uncorrected,0.14468085106382977,0.7872340425531915,0.8717948717948718,0.1282051282051282,1.0,0.22727272727272727,325.5,325.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,KS,сырые,bonferroni,0.002127659574468085,0.02127659574468085,0.1111111111111111,0.7777777777777778,0.7,0.7368421052631577,549.25,765.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,KS,сырые,bh_window,0.002127659574468085,0.02127659574468085,0.1,0.8,0.8,0.8000000000000002,575.6666666666666,695.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,KS,сырые,LORD++,0.0,0.0,0.0,0.0,0.0,0.0,2780.0,1925.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,KS,остатки,bonferroni,0.002127659574468085,0.02127659574468085,0.1,0.8,0.8,0.8000000000000002,631.2222222222222,745.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,KS,остатки,bh_window,0.002127659574468085,0.02127659574468085,0.09090909090909091,0.7272727272727273,0.8,0.761904761904762,665.5,665.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,ADWIN,сырые,uncorrected,0.25957446808510637,0.8723404255319149,0.9242424242424242,0.07575757575757576,1.0,0.14084507042253522,225.5,225.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,ADWIN,сырые,bonferroni,0.00851063829787234,0.06382978723404255,0.3076923076923077,0.6923076923076923,0.9,0.7826086956521738,331.22222222222223,475.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,ADWIN,сырые,bh_window,0.00851063829787234,0.0425531914893617,0.2857142857142857,0.7142857142857143,1.0,0.8333333333333333,315.5,315.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,ADWIN,сырые,LORD++,0.002127659574468085,0.02127659574468085,0.16666666666666666,0.6666666666666666,0.4,0.5,521.2,1305.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,ADWIN,остатки,bonferroni,0.010638297872340425,0.06382978723404255,0.38461538461538464,0.6153846153846154,0.8,0.6956521739130435,243.375,655.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,ADWIN,остатки,bh_window,0.019148936170212766,0.1276595744680851,0.5,0.5,0.9,0.6428571428571429,218.66666666666666,345.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,uncorrected,0.2702127659574468,0.9148936170212766,0.927007299270073,0.072992700729927,1.0,0.1360544217687075,145.5,145.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,bonferroni,0.0,0.0,0.0,1.0,0.6,0.7499999999999999,434.5,1045.5
