rho,procedure,fdr,window_fdp,false_alarms_per_window,mdr,degraded_per_drift,fdr_se
0.0,uncorrected,0.8386207584655729,0.7389336372847011,2.2297872340425533,0.0,128.23499999999999,0.004717093269303306
0.0,bonferroni,0.032900432900432895,0.013829787234042554,0.014893617021276595,0.0,236.73499999999999,0.009875866454411932
0.0,bh_window,0.0712685864859778,0.018156028368794326,0.03404255319148936,0.0,220.73499999999999,0.01686383560332911
0.0,e_bh,0.0,0.0,0.0,0.37,1313.2350000000001,0.0
0.3,uncorrected,0.8314550648227421,0.5629389338781514,2.44468085106383,0.0,122.23500000000001,0.019045050714510774
0.3,bonferroni,0.046453546453546456,0.019148936170212766,0.023404255319148935,0.0,227.73499999999999,0.022789447359848433
0.3,bh_window,0.11412572934312067,0.023599290780141842,0.1,0.0,212.73499999999999,0.06049428379586111
0.3,e_bh,0.0,0.0,0.0,0.33999999999999997,1208.7350000000001,0.0
0.6,uncorrected,0.787847719562735,0.3702392672339481,2.448936170212766,0.0,119.73499999999999,0.0398200068784183
0.6,bonferroni,0.053968253968253964,0.018652482269503546,0.038297872340425525,0.0,222.73499999999999,0.043835587676630636
0.6,bh_window,0.16986885663356252,0.015809534645579704,0.4723404255319149,0.0,217.23499999999999,0.10975370768372275
0.6,e_bh,0.0,0.0,0.0,0.26,1035.2350000000001,0.0
