part,detector,method,seed,n_streams,fwer,n_windows
B,ADWIN,sieve,11.0,100.0,0.23404255319148937,47.0
B,ADWIN,sieve,12.0,100.0,0.1276595744680851,47.0
B,ADWIN,sieve,13.0,100.0,0.0425531914893617,47.0
B,ADWIN,sieve,14.0,100.0,0.2127659574468085,47.0
B,ADWIN,sieve,15.0,100.0,0.2553191489361702,47.0
B,ADWIN,sieve,16.0,100.0,0.1276595744680851,47.0
B,ADWIN,sieve,17.0,100.0,0.10638297872340426,47.0
B,ADWIN,sieve,18.0,100.0,0.574468085106383,47.0
B,ADWIN,sieve,19.0,100.0,0.2553191489361702,47.0
B,ADWIN,sieve,20.0,100.0,0.40425531914893614,47.0
B,ADWIN,sieve,21.0,100.0,0.2978723404255319,47.0
B,ADWIN,sieve,22.0,100.0,0.23404255319148937,47.0
B,ADWIN,sieve,23.0,100.0,0.2765957446808511,47.0
B,ADWIN,sieve,24.0,100.0,0.19148936170212766,47.0
B,ADWIN,sieve,25.0,100.0,0.2553191489361702,47.0
B,ADWIN,sieve,26.0,100.0,0.10638297872340426,47.0
B,ADWIN,sieve,27.0,100.0,0.2978723404255319,47.0
B,ADWIN,sieve,28.0,100.0,0.3829787234042553,47.0
B,ADWIN,sieve,29.0,100.0,0.6170212765957447,47.0
B,ADWIN,sieve,30.0,100.0,0.23404255319148937,47.0
B,ADWIN,sieve,31.0,100.0,0.3617021276595745,47.0
B,ADWIN,sieve,32.0,100.0,0.2553191489361702,47.0
B,ADWIN,sieve,33.0,100.0,0.3404255319148936,47.0
B,ADWIN,sieve,34.0,100.0,0.06382978723404255,47.0
B,ADWIN,sieve,35.0,100.0,0.1702127659574468,47.0
B,ADWIN,sieve,36.0,100.0,0.2127659574468085,47.0
B,ADWIN,sieve,37.0,100.0,0.44680851063829785,47.0
B,ADWIN,sieve,38.0,100.0,0.2553191489361702,47.0
B,ADWIN,sieve,39.0,100.0,0.2127659574468085,47.0
B,ADWIN,sieve_pu,0.0,100.0,0.2127659574468085,47.0
B,ADWIN,sieve_pu,1.0,100.0,0.06382978723404255,47.0
B,ADWIN,sieve_pu,2.0,100.0,0.2765957446808511,47.0
B,ADWIN,sieve_pu,3.0,100.0,0.425531914893617,47.0
B,ADWIN,sieve_pu,4.0,100.0,0.1276595744680851,47.0
B,ADWIN,sieve_pu,5.0,100.0,0.2553191489361702,47.0
B,ADWIN,sieve_pu,6.0,100.0,0.0851063829787234,47.0
B,ADWIN,sieve_pu,7.0,100.0,0.06382978723404255,47.0
B,ADWIN,sieve_pu,8.0,100.0,0.2553191489361702,47.0
B,ADWIN,sieve_pu,9.0,100.0,0.0851063829787234,47.0
B,ADWIN,sieve_pu,10.0,100.0,0.0851063829787234,47.0
B,ADWIN,sieve_pu,11.0,100.0,0.0851063829787234,47.0
B,ADWIN,sieve_pu,12.0,100.0,0.1276595744680851,47.0
B,ADWIN,sieve_pu,13.0,100.0,0.02127659574468085,47.0
B,ADWIN,sieve_pu,14.0,100.0,0.06382978723404255,47.0
B,ADWIN,sieve_pu,15.0,100.0,0.1702127659574468,47.0
B,ADWIN,sieve_pu,16.0,100.0,0.10638297872340426,47.0
B,ADWIN,sieve_pu,17.0,100.0,0.06382978723404255,47.0
B,ADWIN,sieve_pu,18.0,100.0,0.3617021276595745,47.0
B,ADWIN,sieve_pu,19.0,100.0,0.2127659574468085,47.0
B,ADWIN,sieve_pu,20.0,100.0,0.2978723404255319,47.0
B,ADWIN,sieve_pu,21.0,100.0,0.1276595744680851,47.0
B,ADWIN,sieve_pu,22.0,100.0,0.19148936170212766,47.0
B,ADWIN,sieve_pu,23.0,100.0,0.2127659574468085,47.0
B,ADWIN,sieve_pu,24.0,100.0,0.2127659574468085,47.0
B,ADWIN,sieve_pu,26.0,100.0,0.02127659574468085,47.0
B,ADWIN,sieve_pu,25.0,100.0,0.0851063829787234,47.0
B,ADWIN,sieve_pu,27.0,100.0,0.2978723404255319,47.0
B,ADWIN,sieve_pu,28.0,100.0,0.23404255319148937,47.0
