data,method,alarms_per_100,fdp,far,power
Electricity,"Evidently (Z-тест, p < 0.05)",63.72773536895674,0.27549111354464756,0.5066720585856107,0.7056492057415139
Electricity,Evidently + Бонферрони,46.86386768447837,0.21346473732778962,0.28735306364871216,0.5634897411272621
Electricity,"NannyML (точность, ±3σ)",7.951653944020356,0.06484848484848485,0.013877246663054559,0.11347293960725208
Electricity,"driftfdr, δ = 0, без поправки",36.18320610687023,0.10829115585048552,0.11173209265812284,0.49289830417716873
Electricity,"driftfdr, δ = 0, Бонферрони",12.360050890585242,0.06345091256764483,0.021515806040758888,0.1764263027020535
Electricity,"driftfdr, δ = 0.05, без поправки",27.36641221374046,0.07998839596004553,0.061897514813073505,0.3844230888204811
Electricity,"driftfdr, δ = 0.05, Бонферрони",9.26208651399491,0.06490055266902738,0.015749918293290713,0.1322295507387753
INSECTS,"Evidently (Z-тест, p < 0.05)",70.96823770491804,0.07390026440386152,0.19932406479341247,0.892019352369003
INSECTS,Evidently + Бонферрони,53.760245901639344,0.021995044507262574,0.04477976043013783,0.7136782080764503
INSECTS,"NannyML (точность, ±3σ)",60.54303278688525,0.013280673040529732,0.030553983525121044,0.8108078606525777
INSECTS,"driftfdr, δ = 0, без поправки",68.3452868852459,0.023894467731241643,0.06207595899538543,0.9054397983077507
INSECTS,"driftfdr, δ = 0, Бонферрони",51.36782786885246,0.006883285998985636,0.013429079456857802,0.692403230177876
INSECTS,"driftfdr, δ = 0.05, без поправки",57.80737704918033,0.00965487450822012,0.021213016563518743,0.7770207152459372
INSECTS,"driftfdr, δ = 0.05, Бонферрони",35.47643442622951,0.000991323286965094,0.0013614919970392795,0.4810316248364813
Airlines,"Evidently (Z-тест, p < 0.05)",55.94414893617021,0.820948083018245,0.5440823431765102,0.6438106843780371
Airlines,Evidently + Бонферрони,35.10372340425532,0.8198613882390795,0.34131674367536813,0.4120144208373769
Airlines,"NannyML (точность, ±3σ)",6.257978723404255,0.079598312792346,0.005927086598287373,0.3792571450198196
Airlines,"driftfdr, δ = 0, без поправки",12.351063829787234,0.1667722351942263,0.02418552431523091,0.6616640995081576
Airlines,"driftfdr, δ = 0, Бонферрони",6.0611702127659575,0.0833641390570368,0.006017338528947024,0.3651738943425634
Airlines,"driftfdr, δ = 0.05, без поправки",8.11968085106383,0.09818426289044818,0.009527057229945887,0.4738807391226626
Airlines,"driftfdr, δ = 0.05, Бонферрони",3.3404255319148937,0.1116381128335701,0.004246278024925462,0.200988040635608
Covertype,"Evidently (Z-тест, p < 0.05)",78.17287234042553,0.8684499236108105,0.7832820193048835,0.7716056925606738
Covertype,Evidently + Бонферрони,65.81914893617022,0.872608080220308,0.6625553702453926,0.6297875353318871
Covertype,"NannyML (точность, ±3σ)",0.9973404255319149,0.4653361344537815,0.003559547324023157,0.05169278819801608
Covertype,"driftfdr, δ = 0, без поправки",17.231382978723403,0.49463773322771776,0.09908925894792903,0.6481390348040468
Covertype,"driftfdr, δ = 0, Бонферрони",9.625,0.4038419340563695,0.04517109417362786,0.42814514454550445
Covertype,"driftfdr, δ = 0.05, без поправки",13.585106382978722,0.45222365809076437,0.07143967525728603,0.5543938030674402
Covertype,"driftfdr, δ = 0.05, Бонферрони",7.0,0.3584954083918172,0.02798665096296607,0.3429626995510772
