part,tolerance,shift,reject
A,0.0,0.0,True
A,0.0,0.63028504199585,True
A,0.0,0.9634599498587979,True
A,0.0,0.7445323447316395,True
A,0.0,0.18319108856813948,False
A,0.0,0.24291044160673425,False
A,0.0,0.881090977277478,True
A,0.0,0.350084976574359,False
A,0.0,0.3654057828522257,True
A,0.0,0.6994374350433495,True
A,0.0,0.5710962128276865,True
A,0.0,0.7743677200465746,True
A,0.0,0.4144182602774533,True
A,0.0,0.0,False
A,0.0,0.055040160262390336,False
A,0.0,0.6153889383016701,True
A,0.0,0.9839775187943846,True
A,0.0,0.2586727068816741,True
A,0.0,0.01931974966201111,False
A,0.0,0.8291090758359085,True
A,0.0,0.9020216806972198,True
A,0.0,0.3762142573946784,True
A,0.0,0.4875282378859911,True
A,0.0,0.10249130634113124,False
A,0.0,0.716651846855505,True
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.7379188220515808,True
A,0.0,0.0,False
A,0.0,0.12588959091779528,False
A,0.0,0.5514150875866445,True
A,0.0,0.0,False
A,0.0,0.6669995573283449,True
A,0.0,0.4014409820543685,False
A,0.0,0.27016927173559935,True
A,0.0,0.0,False
A,0.0,0.4130538233562502,True
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.7319348382222622,True
A,0.0,0.9857016033009545,True
A,0.0,0.19647540623878312,False
A,0.0,0.19637500161710908,True
A,0.0,0.34881814975135206,False
A,0.0,0.0,False
A,0.0,0.2922629518676114,True
A,0.0,0.12012766558762089,False
A,0.0,0.0,False
A,0.0,0.9601838280131952,True
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.49811475011145134,True
A,0.0,0.0,False
A,0.0,0.1996664170108109,False
A,0.0,0.0,False
A,0.0,0.15101401833628048,False
A,0.0,0.007737831166067077,True
A,0.0,0.2617630114773103,False
A,0.0,0.366004263138887,True
A,0.0,0.2845386917906385,True
A,0.0,0.8271426599315925,True
A,0.0,0.03501582654780033,False
A,0.0,0.02361311456030679,False
A,0.0,0.0,False
A,0.0,0.7348457977475449,True
A,0.0,0.0,False
A,0.0,0.04094056702485027,False
A,0.0,0.3670988444121459,True
A,0.0,0.0,False
A,0.0,0.5989842405748503,True
A,0.0,0.3795280211268389,True
A,0.0,0.3669053601022315,True
A,0.0,0.7329287816963693,True
A,0.0,0.37373508098734975,True
A,0.0,0.033368513443150505,True
A,0.0,0.7299166411738466,True
A,0.0,0.6203134426162425,True
A,0.0,0.29635586772300127,True
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.18821661970305237,False
A,0.0,0.20618366620135808,False
A,0.0,0.7127536333933016,True
A,0.0,0.7416024886633192,True
A,0.0,0.7880247061175553,True
A,0.0,0.9595320674410683,True
A,0.0,0.8597298960211317,True
A,0.0,0.31711959454269434,True
A,0.0,0.0,True
A,0.0,0.08766045839838266,False
A,0.0,0.5594331221452232,True
A,0.0,0.0,False
A,0.0,0.5295228738953976,True
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.5714532980564526,True
A,0.0,0.4124488861943696,True
A,0.0,0.9165962344234594,True
A,0.0,0.2740018632934177,False
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.5907537257003852,True
A,0.0,0.6622715539611231,True
A,0.0,0.7494139740245637,True
A,0.0,0.8242738925347316,True
A,0.0,0.05494082493486918,True
A,0.0,0.0,False
A,0.0,0.9651887909450777,True
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.18505000897948964,False
A,0.0,0.3261605867895414,False
A,0.0,0.3870822176571833,True
A,0.0,0.1804609934357403,True
A,0.0,0.21213571062373715,False
A,0.0,0.6738635238066151,True
A,0.0,0.09962962469234882,True
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.06986283268754712,False
A,0.0,0.0,False
A,0.0,0.10539697520100155,False
A,0.0,0.0,False
A,0.0,0.297069452857034,False
A,0.0,0.0,False
A,0.0,0.7841927982661011,True
A,0.0,0.17323440982813154,False
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.6452134642964544,True
A,0.0,0.09132053126396966,False
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.0,False
A,0.0,0.16759293226269967,True
A,0.0,0.04211020482994288,False
A,0.0,0.0,False
A,0.0,0.18482312994098704,False
A,0.0,0.8742313232185897,True
A,0.0,0.43381529152382126,True
A,0.0,0.8007953192436963,True
A,0.0,0.022059151356833673,False
A,0.0,0.0,True
A,0.0,0.6361679899432444,True
A,0.0,0.0,False
A,0.0,0.763734024910081,True
A,0.0,0.32410925166257676,False
A,0.0,0.06747027798701233,True
A,0.0,0.1259529882406485,False
A,0.0,0.5454632786087397,True
A,0.0,0.05127516813849908,False
A,0.0,0.23255070920537835,False
A,0.0,0.17379182753332412,True
A,0.0,0.3758472478875512,True
A,0.0,0.0,False
A,0.0,0.9177116229801188,True
A,0.0,0.457249624593267,True
A,0.0,0.0,False
A,0.0,0.5213559586546009,True
A,0.0,0.65695420151688,True
A,0.0,0.0,False
A,0.0,0.5415327799303805,True
A,0.0,0.7121119322918992,True
A,0.0,0.9531052644630688,True
A,0.0,0.8486587553830462,True
A,0.0,0.0,False
A,0.0,0.8857373568509661,True
A,0.0,0.5736913360465714,True
A,0.0,0.8533038140712704,True
