data,tolerance,procedure,alarms,false_alarms,fdp,window_fdp,power_per_test
elec2,0.0,uncorrected,293.0,169.66666666666666,0.579083736668796,0.09449562834882602,0.07498199342185972
elec2,0.0,bonferroni,91.33333333333333,28.333333333333332,0.3100812231247014,0.0037034528723770208,0.014687005076316031
elec2,0.0,bh_window,112.66666666666667,27.666666666666668,0.248766961335632,0.0016118200275177022,0.035837978516382825
elec2,0.0,LORD++,86.0,28.333333333333332,0.33030051344004835,0.002467194264069264,0.011398788461155085
elec2,0.05,uncorrected,147.33333333333334,51.666666666666664,0.35196994704131795,0.03126459780529548,0.04747807047801652
elec2,0.05,bonferroni,82.66666666666667,29.0,0.3510452961672474,0.004731805694305694,0.008800500423122694
elec2,0.05,bh_window,87.0,27.666666666666668,0.3188364382184607,0.0016118200275177022,0.015576776569766354
elec2,0.05,LORD++,57.333333333333336,29.0,0.5664451827242525,0.002023749663284547,0.005469394569341402
insects,0.0,uncorrected,113.33333333333333,44.666666666666664,0.3938505179444318,0.04375233819678265,0.10381077510412319
insects,0.0,bonferroni,87.66666666666667,21.0,0.2391870328378265,0.010811287477954144,0.0888424551548408
insects,0.0,bh_window,89.33333333333333,21.333333333333332,0.23860453272217977,0.00892523114745337,0.08976086048918941
insects,0.0,LORD++,83.0,20.333333333333332,0.2450980392156863,0.009711399711399712,0.0829389187142854
insects,0.05,uncorrected,50.666666666666664,0.6666666666666666,0.013071895424836602,0.0013468013468013469,0.09731820114836602
insects,0.05,bonferroni,50.333333333333336,0.3333333333333333,0.006535947712418301,0.0006734006734006734,0.09656468980684012
insects,0.05,bh_window,50.333333333333336,0.3333333333333333,0.006535947712418301,0.0006734006734006734,0.09725140088116495
insects,0.05,LORD++,50.333333333333336,0.3333333333333333,0.006535947712418301,0.0006734006734006734,0.08852364993676783
