data,detector,procedure,seed,alarms,false_alarms,true_alarms,fdp,power_per_test
insects,MeanShift(1),bonferroni,2,50,0,50,0.0,0.09074410163339383
insects,MeanShift(1),bh_window,2,50,0,50,0.0,0.09074410163339383
insects,MeanShift(2),uncorrected,2,50,0,50,0.0,0.08319467554076539
insects,MeanShift(2),bonferroni,2,50,0,50,0.0,0.08319467554076539
insects,MeanShift(2),bh_window,2,50,0,50,0.0,0.08319467554076539
insects,MeanShift(3),uncorrected,2,53,2,51,0.03773584905660377,0.07786259541984733
insects,MeanShift(3),bonferroni,2,50,0,50,0.0,0.07668711656441718
insects,MeanShift(3),bh_window,2,50,0,50,0.0,0.07668711656441718
insects,MeanShift(5),uncorrected,2,51,1,50,0.0196078431372549,0.06666666666666667
insects,MeanShift(5),bonferroni,2,50,0,50,0.0,0.06648936170212766
insects,MeanShift(5),bh_window,2,50,0,50,0.0,0.06648936170212766
