data,truth,detector,procedure,alarms,false_alarms,fdp,window_fdp,false_alarms_per_window,mdr,mean_delay,degraded_per_drift
elec2_events,injected,DDM,raw,2408.6666666666665,2402.3333333333335,0.9973596147196552,0.6570487581132318,6.0058333333333325,0.3666666666666667,253.17857142857142,6534.400000000001
elec2_events,injected,DDM,uncorrected,43.333333333333336,43.333333333333336,1.0,0.04666666666666667,0.10833333333333334,1.0,,20132.0
elec2_events,injected,DDM,bonferroni,3.6666666666666665,3.6666666666666665,1.0,0.009166666666666667,0.009166666666666667,1.0,,20132.0
elec2_events,injected,DDM,bh_window,10.0,10.0,1.0,0.0033333333333333335,0.024999999999999998,1.0,,20132.0
elec2_events,injected,DDM,LORD++,0.0,0.0,0.0,0.0,0.0,1.0,,20132.0
elec2_events,injected,PH,raw,3277.6666666666665,3267.6666666666665,0.9969485987998613,0.6828487652225655,8.169166666666667,0.0,273.3333333333333,273.3333333333333
elec2_events,injected,PH,uncorrected,378.6666666666667,372.6666666666667,0.9842082007287486,0.15820238095238096,0.9316666666666666,0.4000000000000001,2550.6825396825398,6614.8
elec2_events,injected,PH,bonferroni,200.66666666666666,194.66666666666666,0.970122162536822,0.08924531024531024,0.48666666666666664,0.4000000000000001,4705.8825396825405,8258.133333333333
elec2_events,injected,PH,bh_window,258.3333333333333,254.33333333333334,0.9846871731246258,0.050953012265512264,0.6358333333333334,0.6,1856.0,9957.199999999999
elec2_events,injected,PH,LORD++,191.0,185.66666666666666,0.9725836814474816,0.04956288156288156,0.46416666666666667,0.4666666666666666,4758.88888888889,9032.266666666666
elec2_sporadic,injected,DDM,raw,2396.6666666666665,2391.0,0.9976598573751957,0.6723229163265928,5.9775,0.4333333333333333,332.02777777777777,7872.599999999999
elec2_sporadic,injected,DDM,uncorrected,43.333333333333336,43.0,0.9901960784313726,0.045000000000000005,0.1075,0.9666666666666667,19506.0,19365.666666666668
elec2_sporadic,injected,DDM,bonferroni,4.0,4.0,1.0,0.009166666666666667,0.01,1.0,,19446.066666666666
elec2_sporadic,injected,DDM,bh_window,6.666666666666667,6.666666666666667,1.0,0.005,0.016666666666666666,1.0,,19446.066666666666
elec2_sporadic,injected,DDM,LORD++,0.0,0.0,0.0,0.0,0.0,1.0,,19446.066666666666
elec2_sporadic,injected,PH,raw,3201.6666666666665,3191.6666666666665,0.9968722078428948,0.6782154225245525,7.979166666666667,0.0,320.73333333333335,320.73333333333335
elec2_sporadic,injected,PH,uncorrected,370.3333333333333,365.0,0.9856732726251022,0.1490737874097007,0.9125,0.4666666666666666,1782.0666666666666,7676.333333333333
elec2_sporadic,injected,PH,bonferroni,197.33333333333334,191.66666666666666,0.9712950144422225,0.0896732026143791,0.4791666666666667,0.43333333333333335,1947.0277777777776,8152.599999999999
elec2_sporadic,injected,PH,bh_window,248.0,244.0,0.9838606387034665,0.045784823972323974,0.61,0.6,3656.1666666666665,10867.933333333334
elec2_sporadic,injected,PH,LORD++,167.66666666666666,163.0,0.9714672271749897,0.0515333824781509,0.40750000000000003,0.5333333333333333,3030.4166666666665,9770.466666666667
insects,documented,DDM,raw,176.0,76.0,0.4313333610047822,0.022038867638060303,0.15353535353535352,0.6,7933.0,7116.400000000001
insects,documented,DDM,uncorrected,365.3333333333333,161.0,0.43970530098831984,0.08496207287285773,0.3252525252525253,0.13066666666666668,5221.449846331344,5933.946666666667
insects,documented,DDM,bonferroni,88.33333333333333,55.0,0.625887861592794,0.009046015712682378,0.11111111111111112,0.864,7794.857917025552,7555.192
insects,documented,DDM,bh_window,312.6666666666667,121.33333333333333,0.3875849837228806,0.021888497080019387,0.2451178451178451,0.2253333333333333,4111.8533180236145,5850.173333333333
insects,documented,DDM,LORD++,221.33333333333334,89.33333333333333,0.40764193068175336,0.009782503396538484,0.18047138047138048,0.472,6384.7812166709,6480.333333333333
insects,documented,PH,raw,911.0,772.0,0.8474867960315233,0.2278000377637767,1.5595959595959596,0.3053333333333333,4639.266785424687,5185.527999999999
insects,documented,PH,uncorrected,165.33333333333334,79.33333333333333,0.47944079494705455,0.03075270246322878,0.16026936026936026,0.6533333333333333,2240.335990110884,6548.170666666666
insects,documented,PH,bonferroni,120.33333333333333,55.666666666666664,0.4625598275242544,0.01038961038961039,0.11245791245791247,0.7413333333333334,1281.2195202646815,6682.28
insects,documented,PH,bh_window,123.0,54.0,0.43884676002480366,0.005218855218855219,0.10909090909090909,0.7239999999999999,1491.7997520054353,6667.525333333334
insects,documented,PH,LORD++,117.33333333333333,51.333333333333336,0.4376005138372758,0.0053872053872053875,0.1037037037037037,0.7360000000000001,1551.8283037413473,6730.981333333333
insects,extended,DDM,raw,176.0,8.0,0.045256225984151605,0.012794612794612796,0.01616161616161616,0.5800000000000001,114.92656530461409,4469.641666666666
insects,extended,DDM,uncorrected,365.3333333333333,84.66666666666667,0.2307864630128781,0.07681264066859149,0.17104377104377103,0.2658333333333333,1406.8098725439156,3733.400833333333
insects,extended,DDM,bonferroni,88.33333333333333,0.6666666666666666,0.00719842099152444,0.0007856341189674522,0.0013468013468013469,0.7791666666666667,1154.2091245644278,4743.871666666667
insects,extended,DDM,bh_window,312.6666666666667,27.666666666666668,0.08780789560637305,0.01474720162703562,0.05589225589225589,0.2816666666666667,530.1122766122766,3688.7791666666667
insects,extended,DDM,LORD++,221.33333333333334,2.6666666666666665,0.01178539802016306,0.0026936026936026937,0.0053872053872053875,0.4533333333333333,772.9949630541872,4104.583333333333
insects,extended,PH,raw,911.0,679.6666666666666,0.7461229066845951,0.2210656481570532,1.3730639730639729,0.33499999999999996,1624.317378433893,3262.596666666667
insects,extended,PH,uncorrected,165.33333333333334,25.666666666666668,0.15437507071594486,0.0265993265993266,0.05185185185185185,0.6491666666666667,161.54376128952927,4106.110833333333
insects,extended,PH,bonferroni,120.33333333333333,4.0,0.03290453946580429,0.005723905723905724,0.008080808080808083,0.7091666666666666,217.5013859220832,4195.654166666666
insects,extended,PH,bh_window,123.0,2.6666666666666665,0.02137160672454182,0.0030303030303030303,0.0053872053872053875,0.6991666666666667,165.75833563091626,4180.47
insects,extended,PH,LORD++,117.33333333333333,1.3333333333333333,0.011045724160478257,0.0013468013468013469,0.0026936026936026937,0.71,244.47589087511722,4233.363333333334
