case,seed,method,false_alarms,p_false_alarm_per_100_steps,mean_delay,degraded_per_drift,missed,f1,us_per_model_step
"abrupt, Δ=1, ρ=0.6",1,"MeanShift(3), окно 100",17,0.1276595744680851,286.9,286.9,0.0,0.5405405405405406,1.5443445719989768
"abrupt, Δ=1, ρ=0.6",1,"PH + AR, окно 100",10,0.1702127659574468,186.9,186.9,0.0,0.6666666666666666,1.9947672779999268
"abrupt, Δ=1, ρ=0.6",1,"PH, окно 25",7,0.1063829787234042,174.4,174.4,0.0,0.7407407407407407,5.118890814001361
"abrupt, Δ=1, ρ=0.6",1,"PH + AR, окно 25",6,0.1063829787234042,176.9,176.9,0.0,0.7692307692307693,6.540891815999544
"gradual, Δ=0.5, ρ=0",0,"PH, окно 100",1,0.0212765957446808,787.5,1154.0,0.1999999999999999,0.631578947368421,1.6818152200000895
"abrupt, Δ=1, ρ=0.6",1,"e-CUSUM, окно 100",27,0.1914893617021276,136.9,136.9,0.0,0.4255319148936171,1.9289187320015344
"gradual, Δ=0.5, ρ=0",0,"MeanShift(3), окно 100",0,0.0,602.5555555555555,884.0,0.0999999999999999,0.9473684210526316,1.7398906059984256
"gradual, Δ=0.5, ρ=0",0,"PH, окно 25",0,0.0,994.25,1544.0,0.6,0.4285714285714285,5.330724414000997
"gradual, Δ=0.5, ρ=0",0,"PH + AR, окно 100",1,0.0212765957446808,825.0,1184.0,0.1999999999999999,0.7368421052631577,2.189137375999053
"gradual, Δ=0.5, ρ=0",0,"PH + AR, окно 25",0,0.0,938.4,1404.0,0.5,0.5333333333333333,5.933746067998982
"gradual, Δ=0.5, ρ=0",1,"MeanShift(3), окно 100",1,0.0212765957446808,974.375,1086.9,0.1999999999999999,0.5263157894736842,1.44556267799976
"gradual, Δ=0.5, ρ=0",1,"PH, окно 100",1,0.0212765957446808,998.1666666666666,1276.9,0.4,0.4705882352941176,1.9195534839998345
"gradual, Δ=0.5, ρ=0",0,"e-CUSUM, окно 100",1,0.0212765957446808,702.5555555555555,974.0,0.0999999999999999,0.8000000000000002,1.9871353379996888
"gradual, Δ=0.5, ρ=0",1,"PH + AR, окно 100",1,0.0212765957446808,1196.6,1416.9,0.5,0.25,1.888667871999587
"gradual, Δ=0.5, ρ=0",1,"PH, окно 25",1,0.0212765957446808,790.3333333333334,1614.4,0.7,0.4285714285714285,4.995910414000264
"gradual, Δ=0.5, ρ=0",1,"PH + AR, окно 25",1,0.0212765957446808,1222.5,1889.4,0.8,0.1538461538461538,5.461032433999662
"gradual, Δ=0.5, ρ=0",1,"e-CUSUM, окно 100",2,0.0425531914893617,749.375,906.9,0.1999999999999999,0.6,2.008305784000868
"gradual, Δ=0.5, ρ=0.6",0,"PH, окно 100",0,0.0,845.7142857142857,1304.0,0.3,0.588235294117647,1.6674009180007945
"gradual, Δ=0.5, ρ=0.6",0,"MeanShift(3), окно 100",1,0.0212765957446808,744.0,744.0,0.0,0.7272727272727272,1.5456574659990563
"gradual, Δ=0.5, ρ=0.6",0,"PH + AR, окно 100",0,0.0,767.2,1424.0,0.5,0.6666666666666666,1.974531219999108
"gradual, Δ=0.5, ρ=0.6",0,"PH, окно 25",0,0.0,1017.2,1549.0,0.5,0.5333333333333333,5.407889469999645
"gradual, Δ=0.5, ρ=0.6",0,"PH + AR, окно 25",0,0.0,1042.2,1561.5,0.5,0.5333333333333333,5.917209560001766
"gradual, Δ=0.5, ρ=0.6",0,"e-CUSUM, окно 100",0,0.0,744.0,744.0,0.0,0.9,2.094887323999501
"gradual, Δ=0.5, ρ=0.6",1,"PH, окно 100",11,0.1702127659574468,526.6666666666666,626.9,0.0999999999999999,0.6,1.684657012001253
"gradual, Δ=0.5, ρ=0.6",1,"MeanShift(3), окно 100",17,0.1276595744680851,581.3333333333334,656.9,0.0999999999999999,0.5,1.3874372860013864
"gradual, Δ=0.5, ρ=0.6",1,"PH + AR, окно 100",11,0.1914893617021276,526.6666666666666,626.9,0.0999999999999999,0.6,1.8313646619999413
"gradual, Δ=0.5, ρ=0.6",1,"PH, окно 25",7,0.1063829787234042,573.8888888888889,669.4,0.0999999999999999,0.6923076923076923,5.56876738799906
"gradual, Δ=0.5, ρ=0.6",1,"PH + AR, окно 25",6,0.1063829787234042,693.3333333333334,776.9,0.0999999999999999,0.64,6.4767953139996735
"gradual, Δ=0.5, ρ=0.6",1,"e-CUSUM, окно 100",27,0.1914893617021276,526.9,526.9,0.0,0.4255319148936171,2.159648253998057
"gradual, Δ=1, ρ=0",0,"PH, окно 100",1,0.0212765957446808,504.0,504.0,0.0,0.9523809523809524,1.8206998879988987
"gradual, Δ=1, ρ=0",0,"MeanShift(3), окно 100",0,0.0,494.0,494.0,0.0,1.0,1.598166788000526
"gradual, Δ=1, ρ=0",0,"PH + AR, окно 100",1,0.0212765957446808,504.0,504.0,0.0,0.9523809523809524,1.8617721679995607
"gradual, Δ=1, ρ=0",0,"PH, окно 25",0,0.0,524.0,524.0,0.0,1.0,5.157948129998204
"gradual, Δ=1, ρ=0",0,"PH + AR, окно 25",0,0.0,519.0,519.0,0.0,1.0,6.088261359998569
"gradual, Δ=1, ρ=0",1,"MeanShift(3), окно 100",1,0.0212765957446808,496.9,496.9,0.0,0.9523809523809524,1.689801202001263
"gradual, Δ=1, ρ=0",1,"PH, окно 100",1,0.0212765957446808,476.9,476.9,0.0,0.9523809523809524,1.6405726699981642
"gradual, Δ=1, ρ=0",0,"e-CUSUM, окно 100",2,0.0425531914893617,484.0,484.0,0.0,0.9090909090909092,2.06221436199894
"gradual, Δ=1, ρ=0",1,"PH + AR, окно 100",1,0.0212765957446808,496.9,496.9,0.0,0.9523809523809524,2.040030539998952
"gradual, Δ=1, ρ=0",1,"PH, окно 25",1,0.0212765957446808,491.9,491.9,0.0,0.9523809523809524,5.329957987998114
"gradual, Δ=1, ρ=0",1,"PH + AR, окно 25",1,0.0212765957446808,519.4,519.4,0.0,0.9523809523809524,5.733020910000505
