data,detector,rule,seed,alarms_per_model_10k,alarms,false_alarms,fdp,power_per_test
INSECTS,PH,raw,0,0.40121970791205264,100,50,0.5,0.1
INSECTS,PH,uncorrected,0,0.20462205103514686,51,1,0.0196078431372549,0.10020040080160321
INSECTS,PH,bonferroni,0,0.20060985395602632,50,0,0.0,0.09940357852882704
INSECTS,PH,bh_window,0,0.20060985395602632,50,0,0.0,0.1
INSECTS,MeanShift(3),uncorrected,0,0.20462205103514686,51,1,0.0196078431372549,0.08347245409015025
INSECTS,MeanShift(3),bonferroni,0,0.20060985395602632,50,0,0.0,0.08333333333333333
INSECTS,MeanShift(3),bh_window,0,0.20060985395602632,50,0,0.0,0.08333333333333333
INSECTS,PH,raw,1,0.40121970791205264,100,50,0.5,0.10101010101010101
INSECTS,PH,uncorrected,1,0.20060985395602632,50,0,0.0,0.10101010101010101
INSECTS,PH,bonferroni,1,0.20060985395602632,50,0,0.0,0.10020040080160321
INSECTS,PH,bh_window,1,0.20060985395602632,50,0,0.0,0.10101010101010101
INSECTS,MeanShift(3),uncorrected,1,0.20060985395602632,50,0,0.0,0.08403361344537816
INSECTS,MeanShift(3),bonferroni,1,0.20060985395602632,50,0,0.0,0.08403361344537816
INSECTS,MeanShift(3),bh_window,1,0.20060985395602632,50,0,0.0,0.08403361344537816
Electricity,PH,raw,0,1.7166104385790832,346,199,0.5751445086705202,0.1267241379310345
Electricity,PH,uncorrected,0,0.7491565786862473,151,56,0.3708609271523179,0.054254711593375214
Electricity,PH,bonferroni,0,0.3969041476483429,80,26,0.325,0.0093766278867859
Electricity,PH,bh_window,0,0.4762849771780115,96,29,0.3020833333333333,0.02404881550610194
Electricity,MeanShift(3),uncorrected,0,0.4068267513395515,82,7,0.08536585365853659,0.05747126436781609
Electricity,MeanShift(3),bonferroni,0,0.24310379043461003,49,13,0.2653061224489796,0.00810445745159838
Electricity,MeanShift(3),bh_window,0,0.2629489978170272,53,0,0.0,0.020882584712371945
Electricity,PH,raw,1,1.9150625124032545,386,212,0.5492227979274611,0.13787638668779714
Electricity,PH,uncorrected,1,0.8285374082159158,167,50,0.2994011976047904,0.0626338329764454
Electricity,PH,bonferroni,1,0.43163326056757295,87,23,0.26436781609195403,0.010420058612829698
Electricity,PH,bh_window,1,0.5110140900972415,103,25,0.24271844660194175,0.02561576354679803
Electricity,MeanShift(3),uncorrected,1,0.4514784679499901,91,6,0.06593406593406594,0.05644090305444887
Electricity,MeanShift(3),bonferroni,1,0.2579876959714229,52,14,0.2692307692307692,0.010201342281879194
Electricity,MeanShift(3),bh_window,1,0.3820202421115301,77,0,0.0,0.03089887640449438
Airlines,PH,raw,0,0.1726315789473684,82,20,0.24390243902439024,0.015848670756646217
Airlines,PH,uncorrected,0,0.24842105263157896,118,37,0.3135593220338983,0.036355475763016155
Airlines,PH,bonferroni,0,0.06526315789473684,31,12,0.3870967741935484,0.002402934109017326
Airlines,PH,bh_window,0,0.16421052631578947,78,20,0.2564102564102564,0.015159435441714584
Airlines,MeanShift(3),uncorrected,0,0.23157894736842105,110,36,0.32727272727272727,0.04528763769889841
Airlines,MeanShift(3),bonferroni,0,0.05894736842105263,28,9,0.32142857142857145,0.002734599884858952
Airlines,MeanShift(3),bh_window,0,0.18526315789473685,88,25,0.2840909090909091,0.018617021276595744
Airlines,PH,raw,1,0.16421052631578947,78,22,0.28205128205128205,0.014173626929891167
Airlines,PH,uncorrected,1,0.22105263157894736,105,44,0.41904761904761906,0.030257936507936508
Airlines,PH,bonferroni,1,0.037894736842105266,18,5,0.2777777777777778,0.0019179699026261434
Airlines,PH,bh_window,1,0.19157894736842104,91,33,0.3626373626373626,0.01264718709114697
Airlines,MeanShift(3),uncorrected,1,0.26105263157894737,124,47,0.3790322580645161,0.03922567498726439
Airlines,MeanShift(3),bonferroni,1,0.05052631578947368,24,9,0.375,0.0022358026531524816
Airlines,MeanShift(3),bh_window,1,0.1726315789473684,82,29,0.35365853658536583,0.016252683226004292
Covertype,PH,raw,0,1.5768421052631578,749,593,0.7917222963951935,0.12946058091286308
Covertype,PH,uncorrected,0,0.4421052631578947,210,101,0.48095238095238096,0.049862763037511436
Covertype,PH,bonferroni,0,0.18105263157894738,86,24,0.27906976744186046,0.01713180436584692
Covertype,PH,bh_window,0,0.20842105263157895,99,34,0.3434343434343434,0.026982150269821502
Covertype,MeanShift(3),uncorrected,0,0.2336842105263158,111,28,0.25225225225225223,0.12134502923976608
Covertype,MeanShift(3),bonferroni,0,0.17684210526315788,84,12,0.14285714285714285,0.0511727078891258
Covertype,MeanShift(3),bh_window,0,0.18736842105263157,89,15,0.16853932584269662,0.07135969141755062
Covertype,PH,raw,1,1.1073684210526316,526,374,0.7110266159695817,0.12719665271966527
Covertype,PH,uncorrected,1,0.5136842105263157,244,128,0.5245901639344263,0.042947056645686786
Covertype,PH,bonferroni,1,0.18526315789473685,88,27,0.3068181818181818,0.020524899057873486
Covertype,PH,bh_window,1,0.2,95,24,0.25263157894736843,0.020472895040369088
Covertype,MeanShift(3),uncorrected,1,0.23157894736842105,110,24,0.21818181818181817,0.12518195050946143
Covertype,MeanShift(3),bonferroni,1,0.17473684210526316,83,13,0.1566265060240964,0.056910569105691054
Covertype,MeanShift(3),bh_window,1,0.20210526315789473,96,24,0.25,0.07627118644067797
