n_streams,scenario,procedure,alpha,false_alarms_per_1k_stream_steps,degraded_per_drift,fdp,window_fdp,mdr,mean_delay
100,1 event,BatchBH,1e-05,0.0,2265.1666666666665,0.0,0.0,0.7916666666666666,911.4960317460318
100,1 event,BatchBH,0.0001,0.0,1836.8333333333333,0.0,0.0,0.5666666666666667,945.5138195138196
100,1 event,BatchBH,0.001,0.0,1181.0,0.0,0.0,0.25833333333333336,690.189710072063
100,1 event,BatchBH,0.01,0.0,669.3333333333334,0.0,0.0,0.08333333333333333,505.1984864121087
100,1 event,BatchBH,0.05,0.0003546099290780142,469.3333333333333,0.007936507936507936,0.0035460992907801418,0.041666666666666685,379.0068226120857
100,1 event,BatchBH,0.1,0.0003546099290780142,424.3333333333333,0.007936507936507936,0.0035460992907801418,0.03333333333333335,358.4317738791423
100,1 event,BatchBH,0.2,0.0003546099290780142,372.6666666666667,0.007936507936507936,0.0035460992907801418,0.025000000000000005,317.96881091617934
100,1 event,LORD++,1e-05,0.0,1841.8333333333333,0.0,0.0,0.5416666666666666,1119.5978835978835
100,1 event,LORD++,0.0001,0.0,1192.6666666666667,0.0,0.0,0.24166666666666667,750.2605161722809
100,1 event,LORD++,0.001,0.0,778.5,0.0,0.0,0.15833333333333335,428.2493482323204
100,1 event,LORD++,0.01,0.0,410.1666666666667,0.0,0.0,0.025000000000000005,353.3001949317739
100,1 event,LORD++,0.05,0.0,311.8333333333333,0.0,0.0,0.00833333333333334,291.39473684210526
100,1 event,LORD++,0.1,0.0010638297872340426,271.0,0.023088023088023088,0.0006518564872757614,0.00833333333333334,250.03508771929828
100,1 event,LORD++,0.2,0.0035460992907801418,261.8333333333333,0.06494900697799248,0.005296308767753336,0.00833333333333334,240.82456140350874
100,1 event,bh_window,1e-05,0.0,1021.0,0.0,0.0,0.2416666666666667,510.4453044375645
100,1 event,bh_window,0.0001,0.0,646.0,0.0,0.0,0.10000000000000002,431.6332416007338
100,1 event,bh_window,0.001,0.0,401.0,0.0,0.0,0.041666666666666685,306.90155945419104
100,1 event,bh_window,0.01,0.0017730496453900709,235.16666666666666,0.03333333333333333,0.007289204097714735,0.00833333333333334,214.2456140350877
100,1 event,bh_window,0.05,0.00851063829787234,167.66666666666666,0.13739201974496093,0.03629237503817571,0.0,167.66666666666666
100,1 event,bh_window,0.1,0.01170212765957447,152.66666666666666,0.16981136471391345,0.031586958969012625,0.0,152.66666666666666
100,1 event,bh_window,0.2,0.03900709219858156,147.66666666666666,0.37702612702612703,0.06278284363390746,0.0,147.66666666666666
100,1 event,bonferroni,1e-05,0.0,1331.0,0.0,0.0,0.31666666666666665,742.0416666666666
100,1 event,bonferroni,0.0001,0.0,781.8333333333334,0.0,0.0,0.13333333333333333,508.1609579504316
