source,data,seed,spearman,dispersion,null_share,windows
real,Electricity,0,0.6506326528318405,16.379905808477236,0.3140966921119593,13
real,Electricity,1,0.6548759996120691,18.705657492354735,0.31679389312977096,12
real,INSECTS,1,0.7015087357116564,23.87772836685571,0.26647540983606555,127
real,INSECTS,0,0.7252537859802153,26.91073308349826,0.26204918032786884,127
real,Airlines,0,0.8782752043985835,16.662770717737605,0.8031063829787234,370
real,Airlines,1,0.8783262316472157,14.790459053616948,0.8282127659574469,399
real,Covertype,0,0.39750470274734345,7.884728981525114,0.8170212765957446,817
real,Covertype,1,0.39898130914318625,8.3805148809144,0.8148936170212766,814
residuals,INSECTS,0,0.17345806315880558,5.004148674964018,0.26204918032786884,127
residuals,INSECTS,1,0.2100346528770458,3.9346023132543584,0.26647540983606555,127
residuals,Electricity,1,0.3720951795427018,14.671052631578947,0.31679389312977096,12
residuals,Electricity,0,0.2860714980998458,11.499145299145301,0.3140966921119593,13
residuals,Airlines,0,0.26894791309254684,6.398178875926865,0.8031063829787234,370
residuals,Airlines,1,0.20799240203335118,6.4467332715350025,0.8282127659574469,399
synthetic,"синтетика, ρ = 0.0",0,-0.0008911950257657188,0.9504189237992055,1.0,300
synthetic,"синтетика, ρ = 0.0",1,0.0014535473851513432,0.8746762589928058,1.0,300
residuals,Covertype,0,0.19173955634724069,2.511049941294793,0.8170212765957446,817
residuals,Covertype,1,0.14037811856799978,3.055239294735094,0.8148936170212766,814
synthetic,"синтетика, ρ = 0.3",0,0.2972923119615428,6.398844757633995,1.0,300
synthetic,"синтетика, ρ = 0.3",1,0.2831681757352726,4.612097076964333,1.0,300
synthetic,"синтетика, ρ = 0.6",0,0.5902781518260776,15.113997785160574,1.0,300
synthetic,"синтетика, ρ = 0.6",1,0.5791860953657348,12.095791245791245,1.0,300
synthetic,"синтетика, ρ = 0.9",0,0.8918664507915753,30.906994316282177,1.0,300
synthetic,"синтетика, ρ = 0.9",1,0.8899972940486994,29.364645173244387,1.0,300
