data,method,seed,alarms_per_100,fdp,far,power
Electricity,"Evidently (Z-тест, p < 0.05)",1,66.2468193384224,0.25561743806414444,0.5101571483326945,0.7381451152161493
Electricity,Evidently + Бонферрони,1,50.12722646310433,0.19086294416243654,0.28823303947872747,0.6071224528661208
Electricity,"NannyML (точность, ±3σ)",1,10.49618320610687,0.0496969696969697,0.015714833269451896,0.1493048943058465
Electricity,"driftfdr, δ = 0, без поправки",1,39.9236641221374,0.09305289993626514,0.11192027596780375,0.5419920015235193
Electricity,"driftfdr, δ = 0, Бонферрони",1,16.39949109414758,0.051978277734678044,0.025680337293982367,0.23271757760426584
Electricity,"driftfdr, δ = 0.05, без поправки",1,31.33587786259542,0.06699147381242387,0.06324262169413568,0.4376309274423919
Electricity,"driftfdr, δ = 0.05, Бонферрони",1,12.786259541984732,0.04776119402985075,0.018397853583748562,0.18225099980956008
Electricity,"Evidently (Z-тест, p < 0.05)",0,61.208651399491096,0.2953647890251507,0.5031869688385269,0.6731532962668785
Electricity,Evidently + Бонферрони,0,43.600508905852415,0.2360665304931427,0.2864730878186969,0.5198570293884035
Electricity,"NannyML (точность, ±3σ)",0,5.407124681933842,0.08,0.012039660056657223,0.07764098490865766
Electricity,"driftfdr, δ = 0, без поправки",0,32.44274809160305,0.12352941176470589,0.11154390934844192,0.4438046068308181
Electricity,"driftfdr, δ = 0, Бонферрони",0,8.320610687022901,0.07492354740061162,0.017351274787535412,0.12013502779984114
Electricity,"driftfdr, δ = 0.05, без поправки",0,23.396946564885496,0.0929853181076672,0.06055240793201133,0.3312152501985703
Electricity,"driftfdr, δ = 0.05, Бонферрони",0,5.737913486005089,0.082039911308204,0.013101983002832862,0.08220810166799047
INSECTS,"Evidently (Z-тест, p < 0.05)",0,71.20901639344262,0.07942446043165467,0.2152046783625731,0.8892286309937456
INSECTS,Evidently + Бонферрони,0,52.9405737704918,0.027095026127346624,0.05458089668615984,0.698679638637943
INSECTS,"NannyML (точность, ±3σ)",0,60.174180327868854,0.012600034054146092,0.02884990253411306,0.8059763724808895
INSECTS,"driftfdr, δ = 0, без поправки",0,67.87909836065573,0.021433962264150945,0.055360623781676416,0.9010423905489924
INSECTS,"driftfdr, δ = 0, Бонферрони",0,50.07172131147541,0.006957233476570493,0.013255360623781676,0.6744961779013203
INSECTS,"driftfdr, δ = 0.05, без поправки",0,56.782786885245905,0.009382894261999277,0.0202729044834308,0.7630298818624045
INSECTS,"driftfdr, δ = 0.05, Бонферрони",0,33.66803278688525,0.0006086427267194157,0.0007797270955165692,0.4564280750521195
INSECTS,"Evidently (Z-тест, p < 0.05)",1,70.72745901639344,0.06837606837606838,0.18344345122425185,0.8948100737442605
INSECTS,Evidently + Бонферрони,1,54.579918032786885,0.016895062887178524,0.03497862417411582,0.7286767775149575
INSECTS,"NannyML (точность, ±3σ)",1,60.91188524590164,0.013961312026913373,0.03225806451612903,0.815639348824266
INSECTS,"driftfdr, δ = 0, без поправки",1,68.81147540983606,0.02635497319833234,0.06879129420909444,0.909837206066509
INSECTS,"driftfdr, δ = 0, Бонферрони",1,52.66393442622951,0.006809338521400778,0.013602798289933929,0.7103102824544316
INSECTS,"driftfdr, δ = 0.05, без поправки",1,58.83196721311475,0.009926854754440962,0.022153128643606686,0.7910115486294699
INSECTS,"driftfdr, δ = 0.05, Бонферрони",1,37.28483606557377,0.0013740038472107722,0.00194325689856199,0.5056351746208432
Airlines,"Evidently (Z-тест, p < 0.05)",0,57.138297872340424,0.7972444609942283,0.5549867150541119,0.6464826357969724
Airlines,Evidently + Бонферрони,0,35.808510638297875,0.8147653000594177,0.3554533082755492,0.3701395072721876
Airlines,"NannyML (точность, ±3σ)",0,6.207446808510638,0.09511568123393316,0.007193312163826064,0.3134461264470169
Airlines,"driftfdr, δ = 0, без поправки",0,13.962765957446809,0.15276190476190477,0.025986650249497763,0.6601365390323538
Airlines,"driftfdr, δ = 0, Бонферрони",0,6.0638297872340425,0.09649122807017543,0.007128507549737541,0.3057287028791926
Airlines,"driftfdr, δ = 0.05, без поправки",0,8.861702127659575,0.10264105642256903,0.01108158900913745,0.4437518551498961
Airlines,"driftfdr, δ = 0.05, Бонферрони",0,2.867021276595745,0.14656771799628943,0.005119564512993325,0.13653903235381418
Airlines,"Evidently (Z-тест, p < 0.05)",1,54.75,0.8446517050422617,0.5331779712989084,0.6411387329591018
Airlines,Evidently + Бонферрони,1,34.398936170212764,0.8249574764187413,0.32718017907518704,0.4538893344025662
Airlines,"NannyML (точность, ±3σ)",1,6.308510638297872,0.06408094435075885,0.004660861032748682,0.4450681635926223
Airlines,"driftfdr, δ = 0, без поправки",1,10.73936170212766,0.1807825656265478,0.022384398380964062,0.6631916599839615
Airlines,"driftfdr, δ = 0, Бонферрони",1,6.058510638297872,0.07023705004389816,0.004906169508156507,0.4246190858059342
Airlines,"driftfdr, δ = 0.05, без поправки",1,7.377659574468085,0.09372746935832732,0.007972525450754324,0.5040096230954291
Airlines,"driftfdr, δ = 0.05, Бонферрони",1,3.8138297872340425,0.07670850767085077,0.0033729915368575984,0.2654370489174018
