n_streams,scenario,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
500,sporadic,BatchBH,0.001,3,23447,21303,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,20,0.8,1266.8,1099.0,2098.2
500,sporadic,BatchBH,0.01,3,23295,22002,71,0,71,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,71,0.29000000000000004,847.8591549295775,568.0,1247.2
500,sporadic,BatchBH,0.05,3,23236,22512,89,0,89,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,89,0.10999999999999999,504.91011235955057,426.0,678.2
500,sporadic,BatchBH,0.1,3,23223,22587,94,0,94,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,94,0.06000000000000005,499.6063829787234,402.5,590.2
500,sporadic,BatchBH,0.2,3,23212,22691,96,0,96,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,96,0.040000000000000036,405.65625,368.0,475.2
500,sporadic,bonferroni,1e-05,3,23468,21281,12,0,12,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,12,0.88,1000.5,735.0,2141.2
500,sporadic,bonferroni,0.0001,3,23392,21587,40,0,40,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,40,0.6,1018.175,861.5,1759.2
500,sporadic,bonferroni,0.001,3,23295,22155,71,0,71,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,71,0.29000000000000004,653.3943661971831,446.0,1094.2
500,sporadic,bonferroni,0.01,3,23220,22612,94,0,94,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,94,0.06000000000000005,454.5425531914894,351.5,562.2
500,sporadic,bonferroni,0.05,3,23202,22809,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,347.2,312.5,347.2
500,sporadic,bonferroni,0.1,3,23201,22847,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,308.2,279.5,308.2
500,sporadic,bonferroni,0.2,3,23200,22878,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,276.2,267.5,276.2
