window,min_p,n_below,n_streams,rho,seed
35,0.0012520987365462182,9,500,0.0,2
36,0.003790221461661718,10,500,0.0,2
37,0.00221330937458484,7,500,0.0,2
38,0.003532296852042311,9,500,0.0,2
39,0.0024578194167390027,9,500,0.0,2
40,0.0008806901622028782,3,500,0.0,2
41,0.0009360513826145563,8,500,0.0,2
42,0.002767027537866385,7,500,0.0,2
43,0.001035050565318348,6,500,0.0,2
44,0.0003674601739519574,8,500,0.0,2
45,0.0003127734539462368,8,500,0.0,2
46,0.00043565934581589987,6,500,0.0,2
0,0.0023992887601365117,4,500,0.0,3
1,0.00029445517636572904,4,500,0.0,3
2,0.0003784339087402814,7,500,0.0,3
3,0.0005483162190944622,8,500,0.0,3
4,0.0015540338315225383,7,500,0.0,3
5,0.0022549286595310034,9,500,0.0,3
6,0.003264967583800508,8,500,0.0,3
7,0.0011977936253346907,9,500,0.0,3
8,0.001091813381267357,7,500,0.0,3
9,0.0007290947738552676,8,500,0.0,3
10,0.00229001088837751,8,500,0.0,3
11,0.001620833363588696,5,500,0.0,3
12,0.002585833182960278,5,500,0.0,3
13,0.005086104917052003,8,500,0.0,3
14,0.0011301508505329797,8,500,0.0,3
15,0.001254714060081685,7,500,0.0,3
16,0.003117460354277887,8,500,0.0,3
17,0.003715639129600853,6,500,0.0,3
18,0.0028568180234254757,7,500,0.0,3
19,0.0014147359718939849,10,500,0.0,3
20,0.0008078053384376725,9,500,0.0,3
21,0.0006214544306214557,5,500,0.0,3
22,0.000988900766118762,6,500,0.0,3
23,0.0009566866929547913,7,500,0.0,3
24,0.0012226384712933002,9,500,0.0,3
25,0.0017574158533320246,7,500,0.0,3
26,0.0026558503103259073,8,500,0.0,3
27,0.0022294077771955515,8,500,0.0,3
28,0.0003307245061773818,4,500,0.0,3
29,0.0005085925016540369,5,500,0.0,3
30,0.003317921508863315,6,500,0.0,3
31,0.0019017531944633195,5,500,0.0,3
32,0.003734787237722103,5,500,0.0,3
33,0.003090513264617666,7,500,0.0,3
34,0.0020462292613389874,7,500,0.0,3
35,0.002645550704097444,6,500,0.0,3
36,0.001481775622032838,5,500,0.0,3
37,0.0021856516194566017,8,500,0.0,3
38,0.0019731049577274857,9,500,0.0,3
39,0.0006922627890864632,7,500,0.0,3
40,0.0004896392236966245,8,500,0.0,3
41,0.0005500547965677194,9,500,0.0,3
42,0.0009116462588153572,8,500,0.0,3
43,0.00023767409552811607,10,500,0.0,3
44,0.0010054495774385027,11,500,0.0,3
45,0.0013613104471789112,12,500,0.0,3
46,0.0017434959758486383,10,500,0.0,3
0,0.003687885533599888,3,500,0.0,1
1,8.251503503569856e-05,9,500,0.0,1
2,0.0006177399727795873,12,500,0.0,1
3,0.0006284537356363298,10,500,0.0,1
4,0.00029012560544119606,8,500,0.0,1
5,0.0002606100273709519,7,500,0.0,1
