case,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,power_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift,mtr
"abrupt, Δ=0.5",uncorrected,0.001,0,4670,4585,10,2,8,0.2,0.0425531914893617,0.0004362050163576881,0.09411764705882353,0.0425531914893617,0.0425531914893617,0.00425531914893617,235000.0,10,8,0.19999999999999996,337.5,338.0,794.0,557.0370370370371
"abrupt, Δ=0.5",uncorrected,0.01,0,4642,4596,20,10,10,0.5,0.12588652482269505,0.002175805047867711,0.21739130434782608,0.2127659574468085,0.14893617021276595,0.02127659574468085,47000.0,10,10,0.0,404.0,242.0,404.0,116.33663366336634
"abrupt, Δ=0.5",uncorrected,0.05,0,4556,4528,50,40,10,0.8,0.3574468085106383,0.0088339222614841,0.35714285714285715,0.851063829787234,0.3617021276595745,0.0851063829787234,11750.0,10,10,0.0,234.0,215.0,234.0,50.21367521367522
"abrupt, Δ=0.5",uncorrected,0.1,0,4380,4356,113,103,10,0.911504424778761,0.6054711246200608,0.0236455463728191,0.4166666666666667,2.1914893617021276,0.6595744680851063,0.21914893617021278,4563.1067961165045,10,10,0.0,184.0,175.5,184.0,24.799493457154917
"abrupt, Δ=0.5",bonferroni,1e-05,0,4697,4501,1,0,1,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,inf,10,1,0.9,794.0,794.0,1904.0,inf
"abrupt, Δ=0.5",bonferroni,0.0001,0,4697,4505,1,0,1,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,inf,10,1,0.9,394.0,394.0,1864.0,inf
"abrupt, Δ=0.5",bonferroni,0.001,0,4694,4513,2,0,2,0.0,0.0,0.0,0.011049723756906077,0.0,0.0,0.0,inf,10,2,0.8,325.5,325.5,1754.0,inf
"abrupt, Δ=0.5",bonferroni,0.01,0,4682,4541,6,0,6,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,inf,10,6,0.4,766.1666666666666,835.0,1354.0,inf
"abrupt, Δ=0.5",bonferroni,0.05,0,4679,4578,7,0,7,0.0,0.0,0.0,0.06930693069306931,0.0,0.0,0.0,inf,10,7,0.30000000000000004,387.42857142857144,407.0,954.0,inf
"abrupt, Δ=0.5",bonferroni,0.1,0,4670,4585,10,2,8,0.2,0.0425531914893617,0.0004362050163576881,0.09411764705882353,0.0425531914893617,0.0425531914893617,0.00425531914893617,235000.0,10,8,0.19999999999999996,337.5,338.0,794.0,557.0370370370371
"abrupt, Δ=0.5",bh_window,1e-05,0,4697,4501,1,0,1,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,inf,10,1,0.9,794.0,794.0,1904.0,inf
"abrupt, Δ=0.5",bh_window,0.0001,0,4697,4505,1,0,1,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,inf,10,1,0.9,394.0,394.0,1864.0,inf
"abrupt, Δ=0.5",bh_window,0.001,0,4694,4513,2,0,2,0.0,0.0,0.0,0.011049723756906077,0.0,0.0,0.0,inf,10,2,0.8,325.5,325.5,1754.0,inf
"abrupt, Δ=0.5",bh_window,0.01,0,4682,4542,6,0,6,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,inf,10,6,0.4,749.5,835.0,1344.0,inf
"abrupt, Δ=0.5",bh_window,0.05,0,4673,4594,9,0,9,0.0,0.0,0.0,0.11392405063291139,0.0,0.0,0.0,inf,10,9,0.09999999999999998,435.8888888888889,415.0,734.0,inf
"abrupt, Δ=0.5",bh_window,0.1,0,4667,4594,11,2,9,0.18181818181818182,0.02127659574468085,0.00043535045711797995,0.1232876712328767,0.0425531914893617,0.02127659574468085,0.00425531914893617,235000.0,10,9,0.09999999999999998,369.22222222222223,361.0,674.0,572.8257598555522
"abrupt, Δ=0.5",LORD++,1e-05,0,4700,4477,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2174.0,
"abrupt, Δ=0.5",LORD++,0.0001,0,4700,4477,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2174.0,
"abrupt, Δ=0.5",LORD++,0.001,0,4697,4485,1,0,1,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,inf,10,1,0.9,2394.0,2394.0,2064.0,inf
"abrupt, Δ=0.5",LORD++,0.01,0,4697,4501,1,0,1,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,inf,10,1,0.9,794.0,794.0,1904.0,inf
"abrupt, Δ=0.5",LORD++,0.05,0,4697,4505,1,0,1,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,inf,10,1,0.9,394.0,394.0,1864.0,inf
"abrupt, Δ=0.5",LORD++,0.1,0,4697,4505,1,0,1,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,inf,10,1,0.9,394.0,394.0,1864.0,inf
"abrupt, Δ=0.5",uncorrected,1e-05,2,4690,4510,4,0,4,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,inf,10,4,0.6,923.75,366.0,1737.8,inf
"abrupt, Δ=0.5",uncorrected,0.0001,2,4681,4525,8,1,7,0.125,0.02127659574468085,0.00022099447513812155,0.04487179487179487,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,7,0.30000000000000004,1082.4285714285713,504.0,1497.8,303.9461528309358
"abrupt, Δ=0.5",uncorrected,0.001,2,4667,4624,11,1,10,0.09090909090909091,0.02127659574468085,0.00021626297577854672,0.23255813953488372,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,10,0.0,367.8,327.5,367.8,1277.868406742795
"abrupt, Δ=0.5",uncorrected,0.01,2,4634,4606,27,17,10,0.6296296296296297,0.2553191489361702,0.0036908380373425966,0.35714285714285715,0.3617021276595745,0.2765957446808511,0.036170212765957444,27647.058823529413,10,10,0.0,217.8,223.0,217.8,126.93782747258683
"abrupt, Δ=0.5",uncorrected,0.05,2,4499,4462,73,64,9,0.8767123287671232,0.5638297872340425,0.014343343792021516,0.24324324324324326,1.3617021276595744,0.6170212765957447,0.13617021276595745,7343.75,10,9,0.09999999999999998,194.44444444444446,204.0,337.8,33.99107142857142
"abrupt, Δ=0.5",uncorrected,0.1,2,4379,4357,117,107,10,0.9145299145299145,0.6882978723404254,0.02455818223548313,0.45454545454545453,2.276595744680851,0.723404255319149,0.2276595744680851,4392.523364485981,10,10,0.0,197.8,143.5,197.8,22.206892641486252
"abrupt, Δ=0.5",bonferroni,1e-05,2,4700,4479,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2147.8,
"abrupt, Δ=0.5",bonferroni,0.0001,2,4700,4479,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2147.8,
"abrupt, Δ=0.5",bonferroni,0.001,2,4690,4510,4,0,4,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,inf,10,4,0.6,923.75,366.0,1737.8,inf
"abrupt, Δ=0.5",bonferroni,0.01,2,4681,4525,8,1,7,0.125,0.02127659574468085,0.00022099447513812155,0.04487179487179487,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,7,0.30000000000000004,1082.4285714285713,504.0,1497.8,303.9461528309358
"abrupt, Δ=0.5",bonferroni,0.05,2,4668,4592,11,1,10,0.09090909090909091,0.02127659574468085,0.00021777003484320557,0.13157894736842105,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,10,0.0,697.8,353.5,697.8,673.5454284895386
"abrupt, Δ=0.5",bonferroni,0.1,2,4667,4624,11,1,10,0.09090909090909091,0.02127659574468085,0.00021626297577854672,0.23255813953488372,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,10,0.0,367.8,327.5,367.8,1277.868406742795
"abrupt, Δ=0.5",bh_window,1e-05,2,4700,4479,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2147.8,
"abrupt, Δ=0.5",bh_window,0.0001,2,4700,4479,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2147.8,
"abrupt, Δ=0.5",bh_window,0.001,2,4690,4510,4,0,4,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,inf,10,4,0.6,923.75,366.0,1737.8,inf
"abrupt, Δ=0.5",bh_window,0.01,2,4671,4569,11,1,10,0.09090909090909091,0.02127659574468085,0.0002188662727073758,0.09803921568627451,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,10,0.0,957.8,638.0,957.8,490.7078722071414
"abrupt, Δ=0.5",bh_window,0.05,2,4667,4618,11,1,10,0.09090909090909091,0.02127659574468085,0.00021654395842355997,0.20408163265306123,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,10,0.0,427.8,343.0,427.8,1098.6442262739597
"abrupt, Δ=0.5",bh_window,0.1,2,4667,4626,11,1,10,0.09090909090909091,0.02127659574468085,0.00021616947686986597,0.24390243902439024,0.02127659574468085,0.02127659574468085,0.002127659574468085,470000.0,10,10,0.0,347.8,311.5,347.8,1351.3513513513512
"abrupt, Δ=0.5",LORD++,1e-05,2,4700,4479,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2147.8,
"abrupt, Δ=0.5",LORD++,0.0001,2,4700,4479,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2147.8,
"abrupt, Δ=0.5",LORD++,0.001,2,4700,4479,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2147.8,
"abrupt, Δ=0.5",LORD++,0.01,2,4700,4479,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2147.8,
"abrupt, Δ=0.5",LORD++,0.05,2,4700,4479,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2147.8,
"abrupt, Δ=0.5",LORD++,0.1,2,4700,4479,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2147.8,
"abrupt, Δ=0.5",uncorrected,1e-05,1,4685,4544,5,0,5,0.0,0.0,0.0,0.03546099290780142,0.0,0.0,0.0,inf,10,5,0.5,507.8,437.0,1356.9,inf
"abrupt, Δ=0.5",uncorrected,0.0001,1,4673,4614,9,0,9,0.0,0.0,0.0,0.15254237288135594,0.0,0.0,0.0,inf,10,9,0.09999999999999998,434.6666666666667,355.0,536.9,inf
"abrupt, Δ=0.5",uncorrected,0.001,1,4643,4602,19,9,10,0.47368421052631576,0.13120567375886524,0.001955671447196871,0.24390243902439024,0.19148936170212766,0.14893617021276595,0.019148936170212766,52222.22222222222,10,10,0.0,356.9,311.5,356.9,146.32172099249712
"abrupt, Δ=0.5",uncorrected,0.01,1,4529,4486,57,47,10,0.8245614035087719,0.40780141843971623,0.010477039679001338,0.23255813953488372,1.0,0.44680851063829785,0.1,10000.0,10,10,0.0,376.9,298.5,376.9,26.532236667551075
"abrupt, Δ=0.5",uncorrected,0.05,1,4376,4343,108,98,10,0.9074074074074074,0.5382978723404256,0.022565047202394658,0.30303030303030304,2.0851063829787235,0.574468085106383,0.20851063829787234,4795.918367346939,10,10,0.0,276.9,196.5,276.9,17.320037440761787
"abrupt, Δ=0.5",uncorrected,0.1,1,4152,4123,183,173,10,0.9453551912568307,0.6784869976359338,0.041959738054814455,0.3448275862068966,3.6808510638297873,0.723404255319149,0.3680851063829787,2716.7630057803467,10,10,0.0,236.9,211.5,236.9,11.467973853019615
"abrupt, Δ=0.5",bonferroni,1e-05,1,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2116.9,
"abrupt, Δ=0.5",bonferroni,0.0001,1,4697,4486,1,0,1,0.0,0.0,0.0,0.004739336492890996,0.0,0.0,0.0,inf,10,1,0.9,929.0,929.0,2056.9,inf
"abrupt, Δ=0.5",bonferroni,0.001,1,4685,4544,5,0,5,0.0,0.0,0.0,0.03546099290780142,0.0,0.0,0.0,inf,10,5,0.5,507.8,437.0,1356.9,inf
"abrupt, Δ=0.5",bonferroni,0.01,1,4673,4614,9,0,9,0.0,0.0,0.0,0.15254237288135594,0.0,0.0,0.0,inf,10,9,0.09999999999999998,434.6666666666667,355.0,536.9,inf
"abrupt, Δ=0.5",bonferroni,0.05,1,4652,4607,16,6,10,0.375,0.05319148936170213,0.001302365964836119,0.2222222222222222,0.1276595744680851,0.06382978723404255,0.01276595744680851,78333.33333333333,10,10,0.0,396.9,336.0,396.9,197.36289577559418
"abrupt, Δ=0.5",bonferroni,0.1,1,4643,4602,19,9,10,0.47368421052631576,0.13120567375886524,0.001955671447196871,0.24390243902439024,0.19148936170212766,0.14893617021276595,0.019148936170212766,52222.22222222222,10,10,0.0,356.9,311.5,356.9,146.32172099249712
