models,split_common,calibration_total_s,recalibrations,ms_per_step_all_models,us_per_step_per_model
10,False,1.0038962770013313,1,0.07621974300127476,7.6219743001274765
10,True,1.0847479089989065,1,0.044806952000726596,4.480695200072659
100,False,10.218772453999918,0,0.1132599009997648,1.132599009997648
100,True,10.865756663999491,0,0.17597903900059464,1.7597903900059464
1000,False,99.30626919300084,0,1.3360919070000818,1.3360919070000816
1000,True,99.93644974699964,0,1.7303936589996738,1.7303936589996738
