kind,data,truth,detector,procedure,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
summary,elec2_sporadic,injected,PH,raw,0.0,10698.0,10679.0,3110.0,3100.0,10.0,0.9967845659163987,0.670624821937322,0.29028935293566815,7.75,0.6725,1.5495351394581625,645.3548387096774,10.0,10.0,0.0,175.7,95.0,175.7
summary,elec2_sporadic,injected,PH,uncorrected,0.0,18890.0,18065.0,370.0,365.0,5.0,0.9864864864864865,0.16875,0.020204815942430114,0.9125,0.17,0.18244526642007397,5481.095890410959,10.0,5.0,0.5,1655.2,345.0,8211.7
summary,elec2_sporadic,injected,PH,bonferroni,0.0,19409.0,18631.0,197.0,191.0,6.0,0.9695431472081218,0.100625,0.01025173098599109,0.4775,0.1025,0.09547135859242227,10474.34554973822,10.0,6.0,0.4,1738.3333333333333,1014.5,7730.5
summary,elec2_sporadic,injected,PH,bh_window,0.0,19295.0,18329.0,235.0,230.0,5.0,0.9787234042553191,0.05183760683760684,0.012548420535763,0.575,0.0525,0.11496551034689594,8698.260869565218,10.0,5.0,0.5,5828.6,2649.0,9611.7
summary,elec2_sporadic,injected,PH,LORD++,0.0,19562.0,18516.0,146.0,142.0,4.0,0.9726027397260274,0.0544375,0.007669042989846619,0.355,0.055,0.07097870638808358,14088.732394366198,10.0,4.0,0.6,3666.25,3948.0,10442.9
summary,insects,extended,DDM,raw,2.0,24216.0,6071.0,178.0,13.0,165.0,0.07303370786516854,0.01818181818181818,0.0021413276231263384,0.026262626262626262,0.01818181818181818,0.005247436828933559,190569.23076923078,400.0,165.0,0.5875,117.27272727272727,102.0,4506.5625
summary,insects,documented,DDM,raw,2.0,24216.0,6210.0,178.0,78.0,100.0,0.43820224719101125,0.028765920070267896,0.012560386473429951,0.15757575757575756,0.030303030303030304,0.03148462097360136,31761.53846153846,250.0,100.0,0.6,8085.0,8825.0,7177.2
summary,insects,extended,DDM,uncorrected,2.0,23704.0,10990.0,350.0,65.0,285.0,0.18571428571428572,0.05391090391090392,0.005914467697907188,0.13131313131313133,0.05858585858585859,0.026237184144667795,38113.846153846156,400.0,293.0,0.26749999999999996,1454.382252559727,102.0,3738.2075
summary,insects,documented,DDM,uncorrected,2.0,23704.0,11143.0,350.0,138.0,212.0,0.3942857142857143,0.06276287445118614,0.012384456609530647,0.2787878787878788,0.0707070707070707,0.05570356018406394,17952.17391304348,250.0,220.0,0.12,5271.563636363637,4325.0,5943.52
summary,insects,extended,DDM,bonferroni,2.0,24513.0,5881.0,79.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,400.0,79.0,0.8025,1093.7848101265822,155.0,4783.41
summary,insects,documented,DDM,bonferroni,2.0,24513.0,6009.0,79.0,52.0,27.0,0.6582278481012658,0.007575757575757576,0.008653686137460476,0.10505050505050505,0.010101010101010102,0.020989747315734237,47642.307692307695,250.0,27.0,0.892,8254.518518518518,5160.0,7622.216
summary,insects,extended,DDM,bh_window,2.0,23849.0,11745.0,302.0,16.0,286.0,0.052980132450331126,0.006621773288439955,0.001362281822051937,0.03232323232323232,0.00808080808080808,0.006458383789456688,154837.5,400.0,288.0,0.28,375.75,74.0,3584.775
summary,insects,documented,DDM,bh_window,2.0,23849.0,11945.0,302.0,110.0,192.0,0.36423841059602646,0.014427099275584125,0.009208874005860193,0.2222222222222222,0.01616161616161616,0.044401388552514735,22521.81818181818,250.0,194.0,0.22399999999999998,3867.659793814433,60.0,5683.16
summary,insects,extended,DDM,LORD++,2.0,24148.0,7533.0,201.0,1.0,200.0,0.004975124378109453,0.00202020202020202,0.00013274923669188903,0.00202020202020202,0.00202020202020202,0.000403648986841043,2477400.0,400.0,200.0,0.5,186.04,174.0,4132.2125
summary,insects,documented,DDM,LORD++,2.0,24148.0,7847.0,201.0,100.0,101.0,0.4975124378109453,0.010101010101010102,0.012743723716069836,0.20202020202020202,0.010101010101010102,0.040364898684104304,24774.0,250.0,101.0,0.596,6372.455445544554,5060.0,6514.36
summary,insects,extended,DDM,raw,1.0,24243.0,6051.0,169.0,5.0,164.0,0.029585798816568046,0.010101010101010102,0.0008263097008758883,0.010101010101010102,0.010101010101010102,0.002018244934205215,495480.0,400.0,164.0,0.5900000000000001,115.79268292682927,102.0,4517.925
summary,insects,documented,DDM,raw,1.0,24243.0,6187.0,169.0,69.0,100.0,0.40828402366863903,0.018654631420588867,0.011152416356877323,0.1393939393939394,0.020202020202020204,0.02785178009203197,35904.34782608696,250.0,100.0,0.6,8133.0,8825.0,7196.4
summary,insects,extended,DDM,uncorrected,1.0,23649.0,11356.0,371.0,92.0,279.0,0.24797843665768193,0.0894338643350501,0.008101444170482565,0.18585858585858586,0.09292929292929293,0.03713570678937596,26928.260869565216,400.0,295.0,0.26249999999999996,1458.0610169491526,102.0,3743.4225
summary,insects,documented,DDM,uncorrected,1.0,23649.0,11512.0,371.0,168.0,203.0,0.4528301886792453,0.096523353329301,0.014593467685892982,0.3393939393939394,0.10303030303030303,0.06781302978929522,14746.42857142857,250.0,219.0,0.124,5280.767123287671,5060.0,5951.28
summary,insects,extended,DDM,bonferroni,1.0,24489.0,6464.0,87.0,1.0,86.0,0.011494252873563218,0.00202020202020202,0.0001547029702970297,0.00202020202020202,0.00202020202020202,0.000403648986841043,2477400.0,400.0,87.0,0.7825,974.0344827586207,155.0,4721.82
summary,insects,documented,DDM,bonferroni,1.0,24489.0,6606.0,87.0,56.0,31.0,0.6436781609195402,0.010808080808080807,0.008477141992128368,0.11313131313131314,0.014141414141414142,0.02260434326309841,44239.28571428572,250.0,32.0,0.872,7211.125,5160.0,7518.464
summary,insects,extended,DDM,bh_window,1.0,23817.0,11547.0,315.0,29.0,286.0,0.09206349206349207,0.019617224880382773,0.00251147484195029,0.05858585858585859,0.022222222222222223,0.011705820618390247,85427.58620689655,400.0,288.0,0.28,474.0833333333333,74.0,3676.6875
summary,insects,documented,DDM,bh_window,1.0,23817.0,11741.0,315.0,122.0,193.0,0.3873015873015873,0.02543045926504573,0.010390937739545183,0.24646464646464647,0.028282828282828285,0.04924517639460725,20306.55737704918,250.0,195.0,0.21999999999999997,4021.0564102564103,60.0,5832.44
summary,insects,extended,DDM,LORD++,1.0,24067.0,12990.0,229.0,5.0,224.0,0.021834061135371178,0.00404040404040404,0.00038491147036181676,0.010101010101010102,0.00404040404040404,0.002018244934205215,495480.0,400.0,224.0,0.43999999999999995,1273.9017857142858,255.0,4396.8375
summary,insects,documented,DDM,LORD++,1.0,24067.0,13238.0,229.0,80.0,149.0,0.34934497816593885,0.010216197058302321,0.006043208943949237,0.16161616161616163,0.012121212121212121,0.03229191894728344,30967.5,250.0,149.0,0.404,6812.107382550335,5160.0,6959.84
summary,elec2_sporadic,injected,PH,raw,1.0,9906.0,9855.0,3374.0,3364.0,10.0,0.997036158861885,0.6655135918003566,0.34134956874682904,8.41,0.6675,1.6814955513345997,594.7086801426873,10.0,10.0,0.0,557.4,241.0,557.4
summary,elec2_sporadic,injected,PH,uncorrected,1.0,18923.0,17932.0,359.0,355.0,4.0,0.9888579387186629,0.13922794117647058,0.019797010930180683,0.8875,0.14,0.17744676597020895,5635.492957746479,10.0,4.0,0.6,3193.0,3310.0,9884.6
summary,elec2_sporadic,injected,PH,bonferroni,1.0,19409.0,18333.0,197.0,193.0,4.0,0.9796954314720813,0.07651960784313726,0.010527464135711559,0.4825,0.0775,0.09647105868239528,10365.80310880829,10.0,4.0,0.6,2045.75,2191.5,10724.6
summary,elec2_sporadic,injected,PH,bh_window,1.0,19262.0,17897.0,246.0,244.0,2.0,0.991869918699187,0.03735714285714286,0.013633569872045594,0.61,0.0375,0.12196341097670699,8199.180327868853,10.0,2.0,0.8,2191.5,2191.5,13617.0
summary,elec2_sporadic,injected,PH,LORD++,1.0,19433.0,18068.0,189.0,187.0,2.0,0.9894179894179894,0.05485294117647059,0.010349789683418199,0.4675,0.055,0.09347195841247626,10698.395721925133,10.0,2.0,0.8,2191.5,2191.5,13617.0
summary,elec2_sporadic,injected,DDM,raw,0.0,12735.0,12047.0,2433.0,2427.0,6.0,0.9975339087546239,0.6899644383394383,0.2014609446335187,6.0675,0.6925,1.2131360591822453,824.3098475484137,10.0,6.0,0.4,355.0,134.5,6900.5
summary,elec2_sporadic,injected,DDM,uncorrected,0.0,19838.0,17864.0,54.0,54.0,0.0,1.0,0.06,0.0030228392297357814,0.135,0.06,0.026991902429271217,37048.148148148146,10.0,0.0,1.0,,,19697.7
summary,elec2_sporadic,injected,DDM,bonferroni,0.0,19988.0,18014.0,4.0,4.0,0.0,1.0,0.01,0.00022204951704230043,0.01,0.01,0.001999400179946016,500150.0,10.0,0.0,1.0,,,19697.7
summary,elec2_sporadic,injected,DDM,bh_window,0.0,19964.0,17990.0,12.0,12.0,0.0,1.0,0.005,0.0006670372429127293,0.03,0.005,0.005998200539838049,166716.66666666666,10.0,0.0,1.0,,,19697.7
summary,elec2_sporadic,injected,DDM,LORD++,0.0,20000.0,18026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10.0,0.0,1.0,,,19697.7
summary,elec2_sporadic,injected,DDM,raw,1.0,13157.0,11798.0,2292.0,2289.0,3.0,0.9986910994764397,0.6461268939393939,0.19401593490422106,5.7225,0.6475,1.1441567529741077,874.0061162079511,10.0,3.0,0.7,412.3333333333333,315.0,13605.8
summary,elec2_sporadic,injected,DDM,uncorrected,1.0,19874.0,17953.0,42.0,42.0,0.0,1.0,0.045,0.0023394418760095807,0.105,0.045,0.02099370188943317,47633.333333333336,10.0,0.0,1.0,,,19179.4
summary,elec2_sporadic,injected,DDM,bonferroni,1.0,19982.0,18061.0,6.0,6.0,0.0,1.0,0.0125,0.0003322075189635125,0.015,0.0125,0.0029991002699190244,333433.3333333333,10.0,0.0,1.0,,,19179.4
summary,elec2_sporadic,injected,DDM,bh_window,1.0,19982.0,18061.0,6.0,6.0,0.0,1.0,0.005,0.0003322075189635125,0.015,0.005,0.0029991002699190244,333433.3333333333,10.0,0.0,1.0,,,19179.4
summary,elec2_sporadic,injected,DDM,LORD++,1.0,20000.0,18079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10.0,0.0,1.0,,,19179.4
summary,elec2_sporadic,injected,DDM,raw,2.0,12639.0,12336.0,2465.0,2457.0,8.0,0.9967545638945233,0.6808774167009461,0.19917315175097275,6.1425,0.6825,1.2281315605318404,814.2450142450142,10.0,8.0,0.19999999999999996,228.75,257.5,3111.5
summary,elec2_sporadic,injected,DDM,uncorrected,2.0,19898.0,17971.0,34.0,33.0,1.0,0.9705882352941176,0.03,0.001836291803461132,0.0825,0.03,0.016495051484554633,60624.242424242424,10.0,1.0,0.9,19506.0,19506.0,19219.9
summary,elec2_sporadic,injected,DDM,bonferroni,2.0,19994.0,18043.0,2.0,2.0,0.0,1.0,0.005,0.00011084631158898187,0.005,0.005,0.000999700089973008,1000300.0,10.0,0.0,1.0,,,19461.1
summary,elec2_sporadic,injected,DDM,bh_window,2.0,19994.0,18043.0,2.0,2.0,0.0,1.0,0.005,0.00011084631158898187,0.005,0.005,0.000999700089973008,1000300.0,10.0,0.0,1.0,,,19461.1
summary,elec2_sporadic,injected,DDM,LORD++,2.0,20000.0,18049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10.0,0.0,1.0,,,19461.1
summary,elec2_sporadic,injected,PH,raw,2.0,10672.0,10657.0,3121.0,3111.0,10.0,0.9967958987504005,0.6985078538359788,0.2919208032279253,7.7775,0.7,1.555033489953014,643.0729668916747,10.0,10.0,0.0,229.1,225.0,229.1
summary,elec2_sporadic,injected,PH,uncorrected,2.0,18854.0,18358.0,382.0,375.0,7.0,0.981675392670157,0.13924342105263157,0.020427061771434798,0.9375,0.1425,0.18744376686993902,5334.933333333333,10.0,7.0,0.30000000000000004,498.0,413.0,4932.7
summary,elec2_sporadic,injected,PH,bonferroni,2.0,19406.0,18804.0,198.0,191.0,7.0,0.9646464646464646,0.091875,0.010157413316315677,0.4775,0.095,0.09547135859242227,10474.34554973822,10.0,7.0,0.30000000000000004,2057.0,506.0,6002.7
summary,elec2_sporadic,injected,PH,bh_window,2.0,19211.0,18269.0,263.0,258.0,5.0,0.9809885931558935,0.04815972222222222,0.014122283649898735,0.645,0.05,0.12896131160651805,7754.263565891473,10.0,5.0,0.5,2948.4,1234.0,9375.1
summary,elec2_sporadic,injected,PH,LORD++,2.0,19496.0,18969.0,168.0,160.0,8.0,0.9523809523809523,0.04530970625798211,0.00843481469766461,0.4,0.0475,0.07997600719784065,12503.75,10.0,8.0,0.19999999999999996,3233.5,1637.5,5251.5
summary,elec2_events,injected,DDM,raw,0.0,12665.0,11586.0,2458.0,2454.0,4.0,0.9983726606997559,0.6461666666666666,0.2118073537027447,6.135,0.6475,1.2266320103968809,815.240423797881,10.0,4.0,0.6,73.0,73.0,10820.2
summary,elec2_events,injected,DDM,uncorrected,0.0,19844.0,18039.0,52.0,52.0,0.0,1.0,0.055,0.002882643162037807,0.13,0.055,0.02599220233929821,38473.07692307692,10.0,0.0,1.0,,,17985.0
summary,elec2_events,injected,DDM,bonferroni,0.0,19988.0,18183.0,4.0,4.0,0.0,1.0,0.01,0.0002199857009294396,0.01,0.01,0.001999400179946016,500150.0,10.0,0.0,1.0,,,17985.0
summary,elec2_events,injected,DDM,bh_window,0.0,19961.0,18156.0,13.0,13.0,0.0,1.0,0.005,0.0007160167437761622,0.0325,0.005,0.0064980505848245525,153892.3076923077,10.0,0.0,1.0,,,17985.0
summary,elec2_events,injected,DDM,LORD++,0.0,20000.0,18195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10.0,0.0,1.0,,,17985.0
summary,elec2_events,injected,PH,raw,0.0,10085.0,10074.0,3316.0,3306.0,10.0,0.996984318455971,0.6736237637362638,0.32817153067301963,8.265,0.675,1.6525042487253825,605.1421657592257,10.0,10.0,0.0,143.0,122.0,143.0
summary,elec2_events,injected,PH,uncorrected,0.0,18875.0,18207.0,375.0,369.0,6.0,0.984,0.15625,0.020266930301532378,0.9225,0.1575,0.18444466660001999,5421.680216802168,10.0,6.0,0.4,3990.3333333333335,3073.0,6607.8
summary,elec2_events,injected,PH,bonferroni,0.0,19400.0,18349.0,200.0,195.0,5.0,0.975,0.08079545454545455,0.010627282140716116,0.4875,0.0825,0.09747075877236829,10259.48717948718,10.0,5.0,0.5,7363.6,7822.0,10439.0
summary,elec2_events,injected,PH,bh_window,0.0,19262.0,17947.0,246.0,244.0,2.0,0.991869918699187,0.0371875,0.013595587006184878,0.61,0.0375,0.12196341097670699,8199.180327868853,10.0,2.0,0.8,924.0,924.0,13082.6
summary,elec2_events,injected,PH,LORD++,0.0,19457.0,18229.0,181.0,178.0,3.0,0.9834254143646409,0.04939102564102564,0.009764660705469308,0.445,0.05,0.08897330800759772,11239.32584269663,10.0,3.0,0.7,6190.666666666667,9024.0,12211.4
summary,elec2_events,injected,PH,raw,1.0,10159.0,10110.0,3294.0,3284.0,10.0,0.9969641772920461,0.6913084415584416,0.3248269040553907,8.21,0.6925,1.6415075477356793,609.1961023142509,10.0,10.0,0.0,520.0,190.0,520.0
summary,elec2_events,injected,PH,uncorrected,1.0,18905.0,18192.0,365.0,360.0,5.0,0.9863013698630136,0.16110714285714287,0.01978891820580475,0.9,0.1625,0.17994601619514144,5557.222222222223,10.0,5.0,0.5,2143.0,3283.0,7126.0
summary,elec2_events,injected,PH,bonferroni,1.0,19403.0,18748.0,199.0,193.0,6.0,0.9698492462311558,0.09277380952380952,0.010294431406016642,0.4825,0.095,0.09647105868239528,10365.80310880829,10.0,6.0,0.4,2835.3333333333335,3283.0,6544.8
summary,elec2_events,injected,PH,bh_window,1.0,19211.0,18473.0,263.0,258.0,5.0,0.9809885931558935,0.061523809523809515,0.013966329237265198,0.645,0.0625,0.12896131160651805,7754.263565891473,10.0,5.0,0.5,2643.0,3283.0,7376.0
summary,elec2_events,injected,PH,LORD++,1.0,19445.0,18672.0,185.0,180.0,5.0,0.972972972972973,0.045964285714285714,0.009640102827763496,0.45,0.0475,0.08997300809757072,11114.444444444445,10.0,5.0,0.5,3343.0,3283.0,7726.0
summary,elec2_events,injected,DDM,raw,1.0,12918.0,12654.0,2374.0,2366.0,8.0,0.9966301600673968,0.6561219153653365,0.18697645013434488,5.915,0.6575,1.1826452064380686,845.5621301775147,10.0,8.0,0.19999999999999996,363.25,240.0,2712.4
