data,detector,procedure,alarms,false_alarms,true_alarms,fdp,power_per_test
elec2,MeanShift(1),bh_window,112.66666666666667,38.0,74.66666666666667,0.33680088482348375,0.019105075012014975
elec2,MeanShift(1),bonferroni,74.33333333333333,26.666666666666668,47.666666666666664,0.3584307992202729,0.00742060330148957
elec2,MeanShift(1),uncorrected,234.33333333333334,104.66666666666667,129.66666666666666,0.4434236711904696,0.07061682480284535
elec2,MeanShift(2),bh_window,66.0,0.0,66.0,0.0,0.014932724661743437
elec2,MeanShift(2),bonferroni,50.0,27.0,23.0,0.5433319951826575,0.0032787449036810884
elec2,MeanShift(2),uncorrected,99.66666666666667,31.333333333333332,68.33333333333333,0.3128804687944473,0.03630739362259625
elec2,MeanShift(3),bh_window,49.666666666666664,0.0,49.666666666666664,0.0,0.017766844841938995
elec2,MeanShift(3),bonferroni,46.666666666666664,12.666666666666666,34.0,0.27378487626934833,0.006373996397203254
elec2,MeanShift(3),uncorrected,85.0,10.333333333333334,74.66666666666667,0.12135579937304075,0.05457938229283322
elec2,MeanShift(5),bh_window,50.333333333333336,27.666666666666668,22.666666666666668,0.5500653594771242,0.005264064084796414
elec2,MeanShift(5),bonferroni,66.33333333333333,0.6666666666666666,65.66666666666667,0.00980392156862745,0.010845069876363684
elec2,MeanShift(5),uncorrected,82.33333333333333,33.0,49.333333333333336,0.40194600209175474,0.022816374511659774
elec2,PH,bh_window,87.0,27.666666666666668,59.333333333333336,0.3188364382184607,0.015576776569766354
elec2,PH,bonferroni,82.66666666666667,29.0,53.666666666666664,0.3510452961672474,0.008800500423122694
elec2,PH,uncorrected,147.33333333333334,51.666666666666664,95.66666666666667,0.35196994704131795,0.04747807047801652
insects,MeanShift(1),bh_window,50.0,0.0,50.0,0.0,0.09725140088116495
insects,MeanShift(1),bonferroni,50.0,0.0,50.0,0.0,0.09725140088116495
insects,MeanShift(1),uncorrected,54.666666666666664,4.666666666666667,50.0,0.084059215638163,0.09576019914135496
insects,MeanShift(2),bh_window,50.0,0.0,50.0,0.0,0.08861562857197046
insects,MeanShift(2),bonferroni,50.0,0.0,50.0,0.0,0.08861562857197046
insects,MeanShift(2),uncorrected,50.333333333333336,0.3333333333333333,50.0,0.006535947712418301,0.0887262235730764
insects,MeanShift(3),bh_window,50.0,0.0,50.0,0.0,0.08135135444770956
insects,MeanShift(3),bonferroni,50.0,0.0,50.0,0.0,0.08135135444770956
insects,MeanShift(3),uncorrected,51.333333333333336,1.0,50.333333333333336,0.019114564064619557,0.08178955431845858
insects,MeanShift(5),bh_window,50.0,0.0,50.0,0.0,0.06995345972462151
insects,MeanShift(5),bonferroni,50.0,0.0,50.0,0.0,0.06995345972462151
insects,MeanShift(5),uncorrected,50.333333333333336,0.3333333333333333,50.0,0.006535947712418301,0.07008117813426344
insects,PH,bh_window,50.333333333333336,0.3333333333333333,50.0,0.006535947712418301,0.09725140088116495
insects,PH,bonferroni,50.333333333333336,0.3333333333333333,50.0,0.006535947712418301,0.09656468980684012
insects,PH,uncorrected,50.666666666666664,0.6666666666666666,50.0,0.013071895424836602,0.09731820114836602
